,County,VAP,BVAP,EL12G_PR_D,EL12G_PR_R,OVAP,TOT_VOTES,factor,BVAP_pct,OVAP_pct,PRES12None,EL12G_PR_D_pct,EL12G_PR_R_pct,PRES12None_pct
38,37003,2567,121,463,1161,2446,2567,1.0,0.047136735488897546,0.9528632645111025,943,0.18036618620958317,0.45227892481495907,0.3673548889754577
39,37003,769,5,98,389,764,769,1.0,0.006501950585175552,0.9934980494148244,282,0.12743823146944083,0.505851755526658,0.36671001300390116
40,37003,940,39,184,419,901,940,1.0,0.04148936170212766,0.9585106382978723,337,0.19574468085106383,0.44574468085106383,0.35851063829787233
41,37003,1133,33,193,579,1100,1133,1.0,0.02912621359223301,0.970873786407767,361,0.1703442188879082,0.5110326566637247,0.31862312444836716
42,37003,1973,138,313,767,1835,1973,1.0,0.06994424733907754,0.9300557526609224,893,0.15864166244298022,0.38874809934110494,0.45261023821591484
43,37003,2417,67,325,936,2350,2417,1.0,0.02772031443938767,0.9722796855606123,1156,0.13446421183285065,0.38725693007860984,0.47827885808853954
44,37003,1019,61,199,403,958,1019,1.0,0.05986261040235525,0.9401373895976447,417,0.19528949950932287,0.39548577036310106,0.40922473012757604
45,37003,929,1,105,509,928,929,1.0,0.001076426264800861,0.9989235737351991,315,0.11302475780409042,0.5479009687836384,0.33907427341227125
46,37003,2802,569,223,690,2233,2802,1.0,0.2030692362598144,0.7969307637401856,1889,0.07958600999286224,0.2462526766595289,0.6741613133476089
47,37003,1758,246,397,610,1512,1758,1.0,0.13993174061433447,0.8600682593856656,751,0.22582480091012513,0.34698521046643915,0.4271899886234357
48,37003,1384,49,299,552,1335,1384,1.0,0.03540462427745665,0.9645953757225434,533,0.21604046242774566,0.3988439306358382,0.38511560693641617
49,37003,1737,230,389,591,1507,1737,1.0,0.13241220495106507,0.8675877950489349,757,0.22394933793897526,0.34024179620034545,0.43580886586067935
50,37003,1092,74,168,459,1018,1092,1.0,0.06776556776556776,0.9322344322344323,465,0.15384615384615385,0.42032967032967034,0.4258241758241758
51,37003,1826,10,252,893,1816,1826,1.0,0.00547645125958379,0.9945235487404163,681,0.1380065717415115,0.4890470974808324,0.3729463307776561
52,37005,702,0,123,281,702,702,1.0,0.0,1.0,298,0.1752136752136752,0.40028490028490027,0.42450142450142453
