,County,VAP,BVAP,WVAP,HVAP,EL12G_PR_D,EL12G_PR_R,OVAP,TOT_VOTES,factor,BVAP_pct,WVAP_pct,HVAP_pct,OVAP_pct,PRES12None,EL12G_PR_D_pct,EL12G_PR_R_pct,PRES12None_pct
31,37001,5660,421,4927,166,832,1437,146,5660,1.0,0.07438162544169612,0.870494699646643,0.029328621908127208,0.025795053003533568,3391,0.1469964664310954,0.253886925795053,0.5991166077738516
32,37001,4194,420,3642,88,627,1951,44,4194,1.0,0.10014306151645208,0.8683834048640916,0.020982355746304245,0.010491177873152123,1616,0.14949928469241774,0.4651883643299952,0.38531235097758704
33,37001,2153,148,1884,44,526,1318,77,2153,1.0,0.06874129122155133,0.8750580585229911,0.020436600092893636,0.035764050162563864,309,0.24431026474686485,0.6121690664189503,0.14352066883418485
34,37001,1834,329,1414,59,479,763,32,1834,1.0,0.17938931297709923,0.7709923664122137,0.0321701199563795,0.017448200654307525,592,0.2611777535441658,0.41603053435114506,0.3227917121046892
35,37001,4922,2325,1739,736,1982,596,122,4922,1.0,0.47236895570906134,0.35331166192604635,0.14953271028037382,0.02478667208451849,2344,0.4026818366517676,0.12108898821617228,0.47622917513206015
36,37003,2871,14,2771,29,455,1596,57,2871,1.0,0.004876349703935911,0.965168930686172,0.010101010101010102,0.019853709508881923,820,0.1584813653779171,0.5559038662486938,0.28561476837338906
37,37003,3528,24,3380,54,548,1699,70,3528,1.0,0.006802721088435374,0.9580498866213152,0.015306122448979591,0.01984126984126984,1281,0.15532879818594103,0.4815759637188209,0.3630952380952381
38,37003,2567,121,2399,26,463,1161,21,2567,1.0,0.047136735488897546,0.9345539540319439,0.01012855473315154,0.008180755746007013,943,0.18036618620958317,0.45227892481495907,0.3673548889754577
39,37003,769,5,751,7,98,389,6,769,1.0,0.006501950585175552,0.976592977893368,0.009102730819245773,0.007802340702210663,282,0.12743823146944083,0.505851755526658,0.36671001300390116
40,37003,940,39,857,35,184,419,9,940,1.0,0.04148936170212766,0.9117021276595745,0.03723404255319149,0.009574468085106383,337,0.19574468085106383,0.44574468085106383,0.35851063829787233
41,37003,1133,33,1066,17,193,579,17,1133,1.0,0.02912621359223301,0.940864960282436,0.01500441306266549,0.01500441306266549,361,0.1703442188879082,0.5110326566637247,0.31862312444836716
