,COUNTY,VAP,NAME,WVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
1066,Baltimore City,1108,Baltimore City Precinct 08-001,657,26,5,451,1108,1.0,0.5929602888086642,0.40703971119133575,1077,0.023465703971119134,0.004512635379061372,0.9720216606498195
1067,Baltimore City,1540,Baltimore City Precinct 08-002,183,467,27,1357,1540,1.0,0.11883116883116883,0.8811688311688312,1046,0.30324675324675326,0.01753246753246753,0.6792207792207792
1068,Baltimore City,2756,Baltimore City Precinct 26-021,263,909,44,2493,2756,1.0,0.09542815674891146,0.9045718432510885,1803,0.32982583454281567,0.015965166908563134,0.6542089985486212
1069,Baltimore City,813,Baltimore City Precinct 26-022,102,234,10,711,813,1.0,0.12546125461254612,0.8745387453874539,569,0.2878228782287823,0.012300123001230012,0.6998769987699877
1070,Baltimore City,586,Baltimore City Precinct 27-002,406,263,49,180,586,1.0,0.6928327645051194,0.30716723549488056,274,0.44880546075085326,0.08361774744027303,0.46757679180887374
1071,Baltimore City,2370,Baltimore City Precinct 27-001,734,593,95,1636,2370,1.0,0.309704641350211,0.6902953586497891,1682,0.25021097046413504,0.04008438818565401,0.7097046413502109
1072,Baltimore City,3583,Baltimore City Precinct 27-018,801,564,92,2782,3583,1.0,0.22355567959810216,0.7764443204018978,2927,0.1574099916271281,0.025676807144850683,0.8169132012280212
1073,Baltimore City,1263,Baltimore City Precinct 27-017,466,389,64,797,1263,1.0,0.36896278701504354,0.6310372129849564,810,0.3079968329374505,0.050673000791765635,0.6413301662707839
1074,Baltimore City,642,Baltimore City Precinct 27-003,342,192,29,300,642,1.0,0.5327102803738317,0.4672897196261682,421,0.29906542056074764,0.045171339563862926,0.6557632398753894
1075,Baltimore City,676,Baltimore City Precinct 27-004,338,180,52,338,676,1.0,0.5,0.5,444,0.26627218934911245,0.07692307692307693,0.6568047337278107
1076,Baltimore City,796,Baltimore City Precinct 27-016,371,236,46,425,796,1.0,0.46608040201005024,0.5339195979899497,514,0.2964824120603015,0.05778894472361809,0.6457286432160804
1077,Baltimore City,1296,Baltimore City Precinct 26-023,120,366,23,1176,1296,1.0,0.09259259259259259,0.9074074074074074,907,0.2824074074074074,0.017746913580246913,0.6998456790123457
1078,Baltimore City,1224,Baltimore City Precinct 15-022,11,478,8,1213,1224,1.0,0.008986928104575163,0.9910130718954249,738,0.39052287581699346,0.006535947712418301,0.6029411764705882
1079,Baltimore City,2136,Baltimore City Precinct 15-024,9,534,9,2127,2136,1.0,0.004213483146067416,0.9957865168539326,1593,0.25,0.004213483146067416,0.7457865168539326
1080,Baltimore City,964,Baltimore City Precinct 27-055,16,260,2,948,964,1.0,0.016597510373443983,0.983402489626556,702,0.2697095435684647,0.002074688796680498,0.7282157676348547
1081,Baltimore City,951,Baltimore City Precinct 15-025,20,213,6,931,951,1.0,0.02103049421661409,0.9789695057833859,732,0.22397476340694006,0.006309148264984227,0.7697160883280757
1082,Baltimore City,614,Baltimore City Precinct 27-054,17,153,5,597,614,1.0,0.02768729641693811,0.9723127035830619,456,0.249185667752443,0.008143322475570033,0.742671009771987
1083,Baltimore City,804,Baltimore City Precinct 27-058,10,165,5,794,804,1.0,0.012437810945273632,0.9875621890547264,634,0.20522388059701493,0.006218905472636816,0.7885572139303483
1084,Baltimore City,1983,Baltimore City Precinct 27-053,65,490,10,1918,1983,1.0,0.03277861825516894,0.9672213817448311,1483,0.24710035300050429,0.005042864346949067,0.7478567826525466
1085,Baltimore City,3199,Baltimore City Precinct 27-052,85,631,14,3114,3199,1.0,0.026570803376055017,0.973429196623945,2554,0.19724914035636137,0.00437636761487965,0.798374492028759
1086,Baltimore City,2203,Baltimore City Precinct 15-023,61,535,12,2142,2203,1.0,0.027689514298683614,0.9723104857013164,1656,0.24285065819337268,0.005447117566954153,0.7517022242396731
