,COUNTYFP,VAP,NAME,WVAP,BVAP,HVAP,LG18P_BARN,LG18P_KOBE,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,LG18PNone,LG18P_BARN_pct,LG18P_KOBE_pct,LG18PNone_pct
22,55001,348,New Chester,299,4,29,6,2,16,348,1.0,0.8591954022988506,0.011494252873563218,0.08333333333333333,0.04597701149425287,340,0.017241379310344827,0.005747126436781609,0.9770114942528736
23,55001,1061,New Chester,402,450,103,24,10,106,1061,1.0,0.37888784165881245,0.42412818096135724,0.09707822808671066,0.0999057492931197,1027,0.022620169651272386,0.00942507068803016,0.9679547596606974
24,55001,537,New Haven,493,0,15,33,24,29,537,1.0,0.9180633147113594,0.0,0.027932960893854747,0.054003724394785846,480,0.061452513966480445,0.0446927374301676,0.8938547486033519
25,55001,807,Preston,767,4,15,46,44,21,807,1.0,0.9504337050805453,0.004956629491945477,0.01858736059479554,0.026022304832713755,717,0.057001239157372985,0.05452292441140025,0.8884758364312267
26,55001,327,Preston,302,4,7,16,15,14,327,1.0,0.9235474006116208,0.012232415902140673,0.021406727828746176,0.04281345565749235,296,0.04892966360856269,0.045871559633027525,0.9051987767584098
27,55001,834,Quincy,799,1,10,59,38,24,834,1.0,0.9580335731414868,0.001199040767386091,0.011990407673860911,0.02877697841726619,737,0.07074340527577938,0.045563549160671464,0.8836930455635491
28,55001,122,Quincy,117,0,4,9,5,1,122,1.0,0.9590163934426229,0.0,0.03278688524590164,0.00819672131147541,108,0.07377049180327869,0.040983606557377046,0.8852459016393442
29,55001,70,Quincy,68,0,0,6,3,2,70,1.0,0.9714285714285714,0.0,0.0,0.02857142857142857,61,0.08571428571428572,0.04285714285714286,0.8714285714285714
30,55001,125,Richfield,117,0,2,4,7,6,125,1.0,0.936,0.0,0.016,0.048,114,0.032,0.056,0.912
31,55001,536,Rome,487,4,8,31,25,37,536,1.0,0.9085820895522388,0.007462686567164179,0.014925373134328358,0.06902985074626866,480,0.05783582089552239,0.04664179104477612,0.8955223880597015
32,55001,516,Rome,508,0,5,35,29,3,516,1.0,0.9844961240310077,0.0,0.009689922480620155,0.005813953488372093,452,0.06782945736434108,0.0562015503875969,0.875968992248062
33,55001,522,Rome,506,3,1,37,30,12,522,1.0,0.9693486590038314,0.005747126436781609,0.0019157088122605363,0.022988505747126436,455,0.07088122605363985,0.05747126436781609,0.8716475095785441
34,55001,502,Rome,478,0,8,29,23,16,502,1.0,0.952191235059761,0.0,0.01593625498007968,0.03187250996015936,450,0.05776892430278884,0.045816733067729085,0.896414342629482
35,55001,650,Rome,627,1,10,39,32,12,650,1.0,0.9646153846153847,0.0015384615384615385,0.015384615384615385,0.018461538461538463,579,0.06,0.04923076923076923,0.8907692307692308
36,55001,308,Springville,275,2,11,15,10,20,308,1.0,0.8928571428571429,0.006493506493506494,0.03571428571428571,0.06493506493506493,283,0.048701298701298704,0.032467532467532464,0.9188311688311688
37,55001,778,Springville,725,9,21,33,21,23,778,1.0,0.9318766066838047,0.011568123393316195,0.02699228791773779,0.02956298200514139,724,0.042416452442159386,0.02699228791773779,0.9305912596401028
38,55001,412,Strongs Prairie,396,2,4,21,18,10,412,1.0,0.9611650485436893,0.0048543689320388345,0.009708737864077669,0.024271844660194174,373,0.050970873786407765,0.043689320388349516,0.9053398058252428
39,55001,459,Strongs Prairie,441,5,2,22,19,11,459,1.0,0.9607843137254902,0.010893246187363835,0.004357298474945534,0.023965141612200435,418,0.04793028322440087,0.04139433551198257,0.9106753812636166
40,55001,97,Strongs Prairie,90,1,0,5,4,6,97,1.0,0.9278350515463918,0.010309278350515464,0.0,0.061855670103092786,88,0.05154639175257732,0.041237113402061855,0.9072164948453608
41,55001,97,Wisconsin Dells,28,25,43,1,0,1,97,1.0,0.28865979381443296,0.25773195876288657,0.44329896907216493,0.010309278350515464,96,0.010309278350515464,0.0,0.9896907216494846
43,55003,318,Agenda,307,0,1,14,11,10,318,1.0,0.9654088050314465,0.0,0.0031446540880503146,0.031446540880503145,293,0.0440251572327044,0.03459119496855346,0.9213836477987422
44,55003,600,Ashland,533,0,4,76,43,63,600,1.0,0.8883333333333333,0.0,0.006666666666666667,0.105,481,0.12666666666666668,0.07166666666666667,0.8016666666666666
45,55003,539,Ashland,437,6,15,67,32,81,539,1.0,0.8107606679035251,0.011131725417439703,0.027829313543599257,0.150278293135436,440,0.12430426716141002,0.059369202226345084,0.8163265306122449
46,55003,567,Ashland,481,2,15,49,24,69,567,1.0,0.8483245149911817,0.003527336860670194,0.026455026455026454,0.12169312169312169,494,0.08641975308641975,0.042328042328042326,0.8712522045855379
47,55003,644,Ashland,578,1,9,72,40,56,644,1.0,0.8975155279503105,0.0015527950310559005,0.013975155279503106,0.08695652173913043,532,0.11180124223602485,0.062111801242236024,0.8260869565217391
48,55003,548,Ashland,455,0,14,59,27,79,548,1.0,0.8302919708029197,0.0,0.025547445255474453,0.14416058394160583,462,0.10766423357664233,0.04927007299270073,0.843065693430657
49,55003,619,Ashland,511,6,13,53,26,89,619,1.0,0.8255250403877221,0.009693053311793215,0.0210016155088853,0.14378029079159935,540,0.08562197092084006,0.0420032310177706,0.8723747980613893
50,55003,635,Ashland,513,35,29,70,28,58,635,1.0,0.8078740157480315,0.05511811023622047,0.04566929133858268,0.09133858267716535,537,0.11023622047244094,0.04409448818897638,0.8456692913385827
51,55003,591,Ashland,450,13,3,64,26,125,591,1.0,0.7614213197969543,0.021996615905245348,0.005076142131979695,0.21150592216582065,501,0.10829103214890017,0.043993231810490696,0.8477157360406091
52,55003,542,Ashland,408,7,16,61,29,111,542,1.0,0.7527675276752768,0.012915129151291513,0.02952029520295203,0.2047970479704797,452,0.11254612546125461,0.05350553505535055,0.8339483394833949
53,55003,597,Ashland,488,4,7,50,25,98,597,1.0,0.8174204355108877,0.006700167504187605,0.011725293132328308,0.16415410385259632,522,0.08375209380234507,0.04187604690117253,0.8743718592964824
