,COUNTYFP,VAP,NAME,WVAP,BVAP,HVAP,TRES14D,TRES14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,TRE14None,TRES14D_pct,TRES14R_pct,TRE14None_pct
61,55003,188,Gordon,183,0,3,43,48,2,188,1.0,0.973404255319149,0.0,0.015957446808510637,0.010638297872340425,97,0.22872340425531915,0.2553191489361702,0.5159574468085106
62,55003,558,Jacobs,548,0,1,123,114,9,558,1.0,0.982078853046595,0.0,0.0017921146953405018,0.016129032258064516,321,0.22043010752688172,0.20430107526881722,0.5752688172043011
63,55003,221,La Pointe,210,2,2,152,44,7,221,1.0,0.9502262443438914,0.00904977375565611,0.00904977375565611,0.03167420814479638,25,0.6877828054298643,0.19909502262443438,0.11312217194570136
64,55003,117,Marengo,114,0,0,48,29,3,117,1.0,0.9743589743589743,0.0,0.0,0.02564102564102564,40,0.41025641025641024,0.24786324786324787,0.3418803418803419
65,55003,141,Marengo,138,1,0,58,35,2,141,1.0,0.9787234042553191,0.0070921985815602835,0.0,0.014184397163120567,48,0.41134751773049644,0.24822695035460993,0.3404255319148936
66,55003,580,Mellen,561,0,9,139,70,10,580,1.0,0.9672413793103448,0.0,0.015517241379310345,0.017241379310344827,371,0.2396551724137931,0.1206896551724138,0.6396551724137931
67,55003,302,Morse,292,2,2,96,71,6,302,1.0,0.9668874172185431,0.006622516556291391,0.006622516556291391,0.019867549668874173,135,0.31788079470198677,0.23509933774834438,0.4470198675496689
68,55003,57,Morse,55,0,0,21,16,2,57,1.0,0.9649122807017544,0.0,0.0,0.03508771929824561,20,0.3684210526315789,0.2807017543859649,0.3508771929824561
69,55003,29,Morse,29,0,0,9,7,0,29,1.0,1.0,0.0,0.0,0.0,13,0.3103448275862069,0.2413793103448276,0.4482758620689655
70,55003,55,Peeksville,53,2,0,14,18,0,55,1.0,0.9636363636363636,0.03636363636363636,0.0,0.0,23,0.2545454545454545,0.32727272727272727,0.41818181818181815
71,55003,70,Peeksville,70,0,0,19,25,0,70,1.0,1.0,0.0,0.0,0.0,26,0.2714285714285714,0.35714285714285715,0.37142857142857144
72,55003,386,Sanborn,41,1,11,127,21,333,386,1.0,0.10621761658031088,0.0025906735751295338,0.02849740932642487,0.8626943005181347,238,0.3290155440414508,0.054404145077720206,0.616580310880829
73,55003,536,Sanborn,116,1,21,188,29,398,536,1.0,0.21641791044776118,0.0018656716417910447,0.03917910447761194,0.7425373134328358,319,0.35074626865671643,0.054104477611940295,0.5951492537313433
74,55003,98,Shanagolden,96,0,0,24,22,2,98,1.0,0.9795918367346939,0.0,0.0,0.02040816326530612,52,0.24489795918367346,0.22448979591836735,0.5306122448979592
75,55003,507,White River,487,0,4,124,184,16,507,1.0,0.960552268244576,0.0,0.007889546351084813,0.03155818540433925,199,0.2445759368836292,0.3629191321499014,0.39250493096646943
76,55003,58,White River,54,0,0,19,28,4,58,1.0,0.9310344827586207,0.0,0.0,0.06896551724137931,11,0.3275862068965517,0.4827586206896552,0.1896551724137931
77,55005,518,Almena,501,4,5,77,96,8,518,1.0,0.9671814671814671,0.007722007722007722,0.009652509652509652,0.015444015444015444,345,0.14864864864864866,0.18532818532818532,0.666023166023166
78,55005,471,Almena,468,0,0,95,110,3,471,1.0,0.9936305732484076,0.0,0.0,0.006369426751592357,266,0.20169851380042464,0.23354564755838642,0.564755838641189
