,COUNTYFP,VAP,NAME,WVAP,BVAP,HVAP,SOS18P_LAF,SOS18P_MAR,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SOS18PNone,SOS18P_LAF_pct,SOS18P_MAR_pct,SOS18PNone_pct
23,55001,1329,New Chester,397,506,329,27,10,97,1329,1.0,0.2987208427389014,0.38073739653875094,0.24755455229495862,0.07298720842738901,1292,0.020316027088036117,0.007524454477050414,0.9721595184349134
24,55001,517,New Haven,497,3,11,47,17,6,517,1.0,0.9613152804642167,0.005802707930367505,0.02127659574468085,0.01160541586073501,453,0.09090909090909091,0.03288201160541586,0.8762088974854932
25,55001,852,Preston,810,8,19,72,23,15,852,1.0,0.9507042253521126,0.009389671361502348,0.022300469483568074,0.017605633802816902,757,0.08450704225352113,0.02699530516431925,0.8884976525821596
26,55001,307,Preston,295,1,5,26,8,6,307,1.0,0.9609120521172638,0.003257328990228013,0.016286644951140065,0.019543973941368076,273,0.08469055374592833,0.026058631921824105,0.8892508143322475
27,55001,807,Quincy,789,3,6,75,23,9,807,1.0,0.9776951672862454,0.0037174721189591076,0.007434944237918215,0.011152416356877323,709,0.09293680297397769,0.028500619578686492,0.8785625774473358
28,55001,124,Quincy,119,1,4,11,3,0,124,1.0,0.9596774193548387,0.008064516129032258,0.03225806451612903,0.0,110,0.08870967741935484,0.024193548387096774,0.8870967741935484
29,55001,83,Quincy,83,0,0,7,2,0,83,1.0,1.0,0.0,0.0,0.0,74,0.08433734939759036,0.024096385542168676,0.891566265060241
30,55001,135,Richfield,128,0,6,6,5,1,135,1.0,0.9481481481481482,0.0,0.044444444444444446,0.007407407407407408,124,0.044444444444444446,0.037037037037037035,0.9185185185185185
31,55001,434,Rome,426,1,1,45,18,6,434,1.0,0.9815668202764977,0.002304147465437788,0.002304147465437788,0.013824884792626729,371,0.10368663594470046,0.041474654377880185,0.8548387096774194
32,55001,488,Rome,481,1,2,51,20,4,488,1.0,0.985655737704918,0.0020491803278688526,0.004098360655737705,0.00819672131147541,417,0.10450819672131148,0.040983606557377046,0.8545081967213115
33,55001,513,Rome,505,0,0,54,21,8,513,1.0,0.9844054580896686,0.0,0.0,0.015594541910331383,438,0.10526315789473684,0.04093567251461988,0.8538011695906432
34,55001,399,Rome,392,0,2,42,17,5,399,1.0,0.9824561403508771,0.0,0.005012531328320802,0.012531328320802004,340,0.10526315789473684,0.042606516290726815,0.8521303258145363
35,55001,545,Rome,536,1,4,57,23,4,545,1.0,0.9834862385321101,0.001834862385321101,0.007339449541284404,0.007339449541284404,465,0.10458715596330276,0.04220183486238532,0.8532110091743119
36,55001,342,Springville,335,1,1,18,8,5,342,1.0,0.97953216374269,0.0029239766081871343,0.0029239766081871343,0.014619883040935672,316,0.05263157894736842,0.023391812865497075,0.9239766081871345
37,55001,717,Springville,680,3,15,38,16,19,717,1.0,0.9483960948396095,0.0041841004184100415,0.02092050209205021,0.026499302649930265,663,0.05299860529986053,0.022315202231520222,0.9246861924686193
38,55001,421,Strongs Prairie,405,1,6,31,10,9,421,1.0,0.9619952494061758,0.0023752969121140144,0.014251781472684086,0.021377672209026127,380,0.07363420427553444,0.023752969121140142,0.9026128266033254
39,55001,431,Strongs Prairie,418,2,7,32,11,4,431,1.0,0.9698375870069605,0.004640371229698376,0.016241299303944315,0.009280742459396751,388,0.07424593967517401,0.025522041763341066,0.9002320185614849
40,55001,109,Strongs Prairie,104,1,3,8,2,1,109,1.0,0.9541284403669725,0.009174311926605505,0.027522935779816515,0.009174311926605505,99,0.07339449541284404,0.01834862385321101,0.908256880733945
41,55001,50,Wisconsin Dells,50,0,0,1,0,0,50,1.0,1.0,0.0,0.0,0.0,49,0.02,0.0,0.98
43,55003,338,Agenda,331,1,3,19,10,3,338,1.0,0.9792899408284024,0.0029585798816568047,0.008875739644970414,0.008875739644970414,309,0.05621301775147929,0.029585798816568046,0.9142011834319527
44,55003,602,Ashland,551,0,3,96,34,48,602,1.0,0.915282392026578,0.0,0.0049833887043189366,0.07973421926910298,472,0.15946843853820597,0.05647840531561462,0.7840531561461794
