,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
13,Dorchester,70,Dorchester Precinct 18-001,65,0,0,1,4,0,5,70,1,0.9285714285714286,0.0,0.0,0.07142857142857142,65,0.014285714285714285,0.05714285714285714,0.0,0.9285714285714286
14,Dorchester,49,Dorchester Precinct 11-001,44,0,3,4,2,3,2,49,1,0.8979591836734694,0.0,0.061224489795918366,0.04081632653061224,40,0.08163265306122448,0.04081632653061224,0.061224489795918366,0.8163265306122449
15,Dorchester,145,Dorchester Precinct 13-002,79,66,0,15,4,0,0,145,1,0.5448275862068965,0.45517241379310347,0.0,0.0,126,0.10344827586206896,0.027586206896551724,0.0,0.8689655172413793
16,Dorchester,206,Dorchester Precinct 17-001,169,34,1,14,6,0,2,206,1,0.8203883495145631,0.1650485436893204,0.0048543689320388345,0.009708737864077669,186,0.06796116504854369,0.02912621359223301,0.0,0.9029126213592233
17,Dorchester,63,Dorchester Precinct 14-002,39,22,1,6,2,0,1,63,1,0.6190476190476191,0.3492063492063492,0.015873015873015872,0.015873015873015872,55,0.09523809523809523,0.031746031746031744,0.0,0.873015873015873
18,Wicomico,1349,Wicomico Precinct 17-001,1025,279,22,72,31,16,23,1349,1,0.759822090437361,0.20681986656782803,0.01630837657524092,0.01704966641957005,1230,0.05337286879169755,0.022979985174203115,0.011860637509266123,0.9117865085248332
19,Dorchester,308,Dorchester Precinct 03-001,274,30,2,15,10,7,2,308,1,0.8896103896103896,0.09740259740259741,0.006493506493506494,0.006493506493506494,276,0.048701298701298704,0.032467532467532464,0.022727272727272728,0.8961038961038961
20,Cecil,4593,Cecil Precinct 05-003,4361,81,64,84,101,79,87,4593,1,0.9494883518397561,0.017635532331809273,0.01393424776834313,0.018941868060091443,4329,0.018288700195950358,0.021989984759416503,0.017200087089048553,0.9425212279555846
21,Kent,1682,Kent Precinct 01-002,1494,76,88,39,40,75,24,1682,1,0.8882282996432818,0.04518430439952437,0.052318668252080855,0.014268727705112961,1528,0.02318668252080856,0.023781212841854936,0.044589774078478,0.9084423305588585
22,Cecil,2280,Cecil Precinct 02-001,2088,46,119,49,49,47,27,2280,1,0.9157894736842105,0.02017543859649123,0.052192982456140354,0.011842105263157895,2135,0.02149122807017544,0.02149122807017544,0.0206140350877193,0.9364035087719298
23,Cecil,2076,Cecil Precinct 02-002,1934,67,38,44,46,34,37,2076,1,0.9315992292870906,0.03227360308285164,0.018304431599229287,0.017822736030828516,1952,0.02119460500963391,0.022157996146435453,0.016377649325626204,0.9402697495183044
24,Cecil,4897,Cecil Precinct 05-002,4539,148,101,47,48,57,109,4897,1,0.9268940167449459,0.030222585256279355,0.02062487237083929,0.022258525627935472,4745,0.009597712885440065,0.009801919542577088,0.011639779456810292,0.9689605881151726
25,Cecil,3665,Cecil Precinct 09-001,3546,38,37,35,50,37,44,3665,1,0.9675306957708049,0.010368349249658937,0.010095497953615279,0.012005457025920874,3543,0.009549795361527967,0.013642564802182811,0.010095497953615279,0.966712141882674
