,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
40,Wicomico,1417,Wicomico Precinct 08-003,1099,175,36,9,4,15,107,1417,1,0.7755822159491884,0.12350035285815103,0.025405786873676783,0.07551164431898377,1389,0.006351446718419196,0.0028228652081863093,0.01058574453069866,0.9802399435426958
41,Wicomico,3627,Wicomico Precinct 13-003,2905,448,121,119,31,145,153,3627,1,0.8009374138406397,0.12351805900192997,0.03336090432864627,0.04218362282878412,3332,0.032809484422387646,0.008547008547008548,0.03997794320374966,0.9186655638268542
42,Wicomico,5667,Wicomico Precinct 13-001,4424,774,267,13,12,17,202,5667,1,0.7806599611787541,0.13658020116463737,0.047114875595553204,0.03564496206105523,5625,0.002293982706899594,0.0021175224986765486,0.002999823539791777,0.9925886712546321
43,Wicomico,250,Wicomico Precinct 09-004,167,58,10,4,3,4,15,250,1,0.668,0.232,0.04,0.06,239,0.016,0.012,0.016,0.956
44,Wicomico,3486,Wicomico Precinct 09-002,433,2849,153,44,69,103,51,3486,1,0.12421113023522662,0.8172690763052208,0.04388984509466437,0.014629948364888123,3270,0.012621916236374068,0.019793459552495698,0.029546758462421115,0.9380378657487092
45,Wicomico,4914,Wicomico Precinct 13-002,2595,1610,482,36,45,65,227,4914,1,0.5280830280830281,0.32763532763532766,0.09808709808709809,0.046194546194546195,4768,0.007326007326007326,0.009157509157509158,0.013227513227513227,0.9702889702889703
46,Wicomico,942,Wicomico Precinct 08-002,842,58,13,61,25,83,29,942,1,0.8938428874734607,0.06157112526539278,0.013800424628450107,0.03078556263269639,773,0.06475583864118896,0.02653927813163482,0.0881104033970276,0.8205944798301487
47,Wicomico,4839,Wicomico Precinct 05-002,2095,2157,428,13,8,12,159,4839,1,0.43294069022525317,0.44575325480471173,0.08844802645174622,0.0328580285182889,4806,0.0026865054763380862,0.0016532341392849763,0.0024798512089274642,0.9931804091754495
48,Wicomico,1862,Wicomico Precinct 09-001,1151,609,62,43,94,114,40,1862,1,0.6181525241675617,0.32706766917293234,0.03329752953813104,0.021482277121374866,1611,0.02309344790547798,0.050483351235230935,0.061224489795918366,0.8651987110633728
49,Wicomico,1802,Wicomico Precinct 08-001,1508,184,41,24,14,32,69,1802,1,0.8368479467258602,0.10210876803551609,0.022752497225305215,0.03829078801331853,1732,0.013318534961154272,0.00776914539400666,0.017758046614872364,0.9611542730299667
50,Wicomico,4054,Wicomico Precinct 05-004,3069,653,140,53,36,82,192,4054,1,0.7570300937345831,0.16107548100641342,0.03453379378391712,0.04736063147508633,3883,0.013073507646768623,0.008880118401578688,0.020226936359151456,0.9578194375925012
51,Wicomico,2944,Wicomico Precinct 05-003,2205,438,162,30,27,37,139,2944,1,0.7489809782608695,0.1487771739130435,0.05502717391304348,0.04721467391304348,2850,0.010190217391304348,0.009171195652173914,0.012567934782608696,0.9680706521739131
