,COUNTY,VAP,NAME,WVAP,GOV14D,GOV14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14None,GOV14D_pct,GOV14R_pct,GOV14None_pct
636,Anne Arundel,1702,Anne Arundel Precinct 05-013,1627,183,640,75,1702,1,0.9559341950646298,0.04406580493537015,879,0.10752056404230317,0.37602820211515864,0.5164512338425382
637,Anne Arundel,2718,Anne Arundel Precinct 05-018,2265,258,590,453,2718,1,0.8333333333333334,0.16666666666666666,1870,0.09492273730684327,0.21707137601177337,0.6880058866813834
638,Anne Arundel,2136,Anne Arundel Precinct 05-022,1936,269,652,200,2136,1,0.9063670411985019,0.09363295880149813,1215,0.12593632958801498,0.3052434456928839,0.5688202247191011
639,Anne Arundel,2178,Anne Arundel Precinct 05-001,1856,258,814,322,2178,1,0.852157943067034,0.14784205693296604,1106,0.1184573002754821,0.37373737373737376,0.5078053259871441
640,Anne Arundel,2073,Anne Arundel Precinct 05-017,1891,285,711,182,2073,1,0.9122045344910757,0.08779546550892427,1077,0.13748191027496381,0.3429811866859624,0.5195369030390738
641,Anne Arundel,2525,Anne Arundel Precinct 05-002,2062,331,673,463,2525,1,0.8166336633663366,0.18336633663366336,1521,0.1310891089108911,0.26653465346534655,0.6023762376237624
654,Anne Arundel,1620,Anne Arundel Precinct 07-026,1426,259,617,194,1620,1,0.8802469135802469,0.11975308641975309,744,0.15987654320987654,0.3808641975308642,0.45925925925925926
655,Anne Arundel,2128,Anne Arundel Precinct 04-010,1684,6,31,444,2128,1,0.7913533834586466,0.20864661654135339,2091,0.002819548872180451,0.01456766917293233,0.9826127819548872
656,Anne Arundel,2733,Anne Arundel Precinct 04-016,2032,221,329,701,2733,1,0.743505305525064,0.25649469447493595,2183,0.08086351994145627,0.12038053421148921,0.7987559458470546
657,Anne Arundel,1530,Anne Arundel Precinct 07-014,1357,223,474,173,1530,1,0.8869281045751634,0.1130718954248366,833,0.14575163398692811,0.30980392156862746,0.5444444444444444
658,Anne Arundel,2243,Anne Arundel Precinct 07-016,1754,306,461,489,2243,1,0.7819884083816317,0.21801159161836825,1476,0.13642443156486847,0.20552831029870708,0.6580472581364244
659,Anne Arundel,1864,Anne Arundel Precinct 07-015,1650,299,599,214,1864,1,0.8851931330472103,0.1148068669527897,966,0.1604077253218884,0.32135193133047213,0.5182403433476395
660,Anne Arundel,2124,Anne Arundel Precinct 07-018,1735,272,543,389,2124,1,0.8168549905838042,0.18314500941619585,1309,0.128060263653484,0.2556497175141243,0.6162900188323918
661,Anne Arundel,3122,Anne Arundel Precinct 04-023,2305,298,632,817,3122,1,0.7383087764253684,0.26169122357463165,2192,0.0954516335682255,0.20243433696348495,0.7021140294682896
662,Anne Arundel,2399,Anne Arundel Precinct 04-022,1498,288,327,901,2399,1,0.6244268445185494,0.3755731554814506,1784,0.1200500208420175,0.13630679449770738,0.7436431846602751
663,Anne Arundel,1929,Anne Arundel Precinct 04-008,1617,183,546,312,1929,1,0.838258164852255,0.16174183514774496,1200,0.09486780715396578,0.28304821150855364,0.6220839813374806
664,Anne Arundel,2249,Anne Arundel Precinct 07-008,1808,211,561,441,2249,1,0.8039128501556247,0.19608714984437528,1477,0.0938194753223655,0.24944419742107604,0.6567363272565585
665,Anne Arundel,2263,Anne Arundel Precinct 07-007,2076,192,699,187,2263,1,0.9173663278833407,0.0826336721166593,1372,0.08484312859036677,0.308882015024304,0.6062748563853292
666,Anne Arundel,1835,Anne Arundel Precinct 07-004,1530,178,493,305,1835,1,0.8337874659400545,0.16621253405994552,1164,0.09700272479564033,0.2686648501362398,0.6343324250681199
667,Anne Arundel,2323,Anne Arundel Precinct 07-011,1990,66,229,333,2323,1,0.8566508824795523,0.14334911752044768,2028,0.0284115368058545,0.09857942315970727,0.8730090400344382
668,Anne Arundel,1203,Anne Arundel Precinct 07-027,977,199,632,226,1203,1,0.8121363258520365,0.18786367414796343,372,0.16541978387364922,0.5253532834580216,0.3092269326683292
669,Anne Arundel,2006,Anne Arundel Precinct 07-013,1841,239,743,165,2006,1,0.9177467597208375,0.08225324027916252,1024,0.11914257228315055,0.37038883349950147,0.5104685942173479
670,Anne Arundel,2140,Anne Arundel Precinct 07-022,1966,158,660,174,2140,1,0.9186915887850468,0.08130841121495327,1322,0.07383177570093458,0.308411214953271,0.6177570093457944
671,Anne Arundel,2009,Anne Arundel Precinct 07-017,1700,148,370,309,2009,1,0.8461921353907417,0.15380786460925833,1491,0.07366849178695868,0.18417122946739672,0.7421602787456446
672,Anne Arundel,1853,Anne Arundel Precinct 07-020,1435,235,360,418,1853,1,0.7744198596869941,0.22558014031300594,1258,0.12682137075013492,0.19427954668105774,0.6788990825688074
673,Anne Arundel,2151,Anne Arundel Precinct 07-024,1764,250,687,387,2151,1,0.8200836820083682,0.1799163179916318,1214,0.11622501162250116,0.3193863319386332,0.5643886564388656
674,Anne Arundel,2719,Anne Arundel Precinct 04-021,1999,350,709,720,2719,1,0.7351967635159985,0.26480323648400145,1660,0.12872379551305627,0.2607576314821626,0.6105185730047812
675,Anne Arundel,1631,Anne Arundel Precinct 06-028,1259,198,464,372,1631,1,0.7719190680564071,0.22808093194359289,969,0.1213979153893317,0.28448804414469653,0.5941140404659718
676,Anne Arundel,2014,Anne Arundel Precinct 04-004,1753,211,679,261,2014,1,0.8704071499503475,0.12959285004965243,1124,0.10476663356504469,0.3371400198609732,0.5580933465739821
677,Anne Arundel,1699,Anne Arundel Precinct 07-023,1518,219,700,181,1699,1,0.8934667451442024,0.10653325485579752,780,0.1288993525603296,0.4120070629782225,0.45909358446144793
678,Anne Arundel,2203,Anne Arundel Precinct 07-012,2057,134,384,146,2203,1,0.9337267362687245,0.06627326373127554,1685,0.06082614616432138,0.1743077621425329,0.7648660916931457
679,Anne Arundel,1374,Anne Arundel Precinct 06-020,1317,205,382,57,1374,1,0.9585152838427947,0.04148471615720524,787,0.14919941775836973,0.2780203784570597,0.5727802037845706
680,Anne Arundel,2873,Anne Arundel Precinct 07-005,2447,244,749,426,2873,1,0.8517229376957883,0.14827706230421162,1880,0.08492864601461887,0.2607030978071702,0.6543682561782109
681,Anne Arundel,2103,Anne Arundel Precinct 06-019,1955,243,579,148,2103,1,0.9296243461721351,0.07037565382786495,1281,0.11554921540656206,0.275320970042796,0.609129814550642
682,Anne Arundel,1864,Anne Arundel Precinct 06-026,1752,250,658,112,1864,1,0.9399141630901288,0.060085836909871244,956,0.13412017167381973,0.3530042918454936,0.5128755364806867
683,Anne Arundel,1098,Anne Arundel Precinct 06-027,991,95,363,107,1098,1,0.9025500910746812,0.09744990892531877,640,0.08652094717668488,0.33060109289617484,0.5828779599271403
684,Anne Arundel,2583,Anne Arundel Precinct 04-015,2338,333,868,245,2583,1,0.9051490514905149,0.0948509485094851,1382,0.1289198606271777,0.33604336043360433,0.535036778939218
685,Anne Arundel,3191,Anne Arundel Precinct 06-021,2803,382,800,388,3191,1,0.8784080225634597,0.12159197743654027,2009,0.11971168912566593,0.25070510811657787,0.6295832027577561
686,Anne Arundel,1255,Anne Arundel Precinct 06-031,1182,183,517,73,1255,1,0.9418326693227091,0.05816733067729084,555,0.14581673306772908,0.4119521912350598,0.44223107569721115
687,Anne Arundel,3699,Anne Arundel Precinct 04-006,1002,695,210,2697,3699,1,0.2708840227088402,0.7291159772911597,2794,0.18788861854555286,0.05677210056772101,0.7553392808867262
692,Anne Arundel,5212,Anne Arundel Precinct 01-023,1471,27,44,3741,5212,1,0.28223330775134303,0.717766692248657,5141,0.005180353031465848,0.00844205679201842,0.9863775901765157
693,Anne Arundel,5070,Anne Arundel Precinct 01-022,3022,645,849,2048,5070,1,0.5960552268244576,0.4039447731755424,3576,0.12721893491124261,0.16745562130177516,0.7053254437869823
695,Anne Arundel,2020,Anne Arundel Precinct 04-020,1529,195,358,491,2020,1,0.7569306930693069,0.24306930693069306,1467,0.09653465346534654,0.17722772277227722,0.7262376237623762
696,Anne Arundel,1510,Anne Arundel Precinct 04-005,1100,195,231,410,1510,1,0.7284768211920529,0.271523178807947,1084,0.1291390728476821,0.15298013245033112,0.7178807947019867
697,Anne Arundel,1589,Anne Arundel Precinct 06-024,1066,347,318,523,1589,1,0.670862177470107,0.329137822529893,924,0.2183763373190686,0.2001258653241032,0.5814977973568282
