,COUNTY,VAP,NAME,WVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
664,Anne Arundel,2249,Anne Arundel Precinct 07-008,1808,63,43,26,441,2249,1,0.8039128501556247,0.19608714984437528,2117,0.028012449977767896,0.019119608714984436,0.011560693641618497,0.9413072476656291
665,Anne Arundel,2263,Anne Arundel Precinct 07-007,2076,40,49,28,187,2263,1,0.9173663278833407,0.0826336721166593,2146,0.017675651789659744,0.021652673442333185,0.012372956252761821,0.9482987185152453
666,Anne Arundel,1835,Anne Arundel Precinct 07-004,1530,54,39,30,305,1835,1,0.8337874659400545,0.16621253405994552,1712,0.029427792915531336,0.02125340599455041,0.01634877384196185,0.9329700272479564
667,Anne Arundel,2323,Anne Arundel Precinct 07-011,1990,13,5,4,333,2323,1,0.8566508824795523,0.14334911752044768,2301,0.005596211795092553,0.002152389151958674,0.0017219113215669393,0.9905294877313818
668,Anne Arundel,1203,Anne Arundel Precinct 07-027,977,55,34,28,226,1203,1,0.8121363258520365,0.18786367414796343,1086,0.0457190357439734,0.02826267664172901,0.023275145469659187,0.9027431421446384
669,Anne Arundel,2006,Anne Arundel Precinct 07-013,1841,56,42,36,165,2006,1,0.9177467597208375,0.08225324027916252,1872,0.027916251246261216,0.020937188434695914,0.01794616151545364,0.9332003988035892
670,Anne Arundel,2140,Anne Arundel Precinct 07-022,1966,33,34,23,174,2140,1,0.9186915887850468,0.08130841121495327,2050,0.01542056074766355,0.01588785046728972,0.01074766355140187,0.9579439252336449
671,Anne Arundel,2009,Anne Arundel Precinct 07-017,1700,28,23,14,309,2009,1,0.8461921353907417,0.15380786460925833,1944,0.013937282229965157,0.011448481831757094,0.006968641114982578,0.9676455948232952
672,Anne Arundel,1853,Anne Arundel Precinct 07-020,1435,46,21,25,418,1853,1,0.7744198596869941,0.22558014031300594,1761,0.0248246087425796,0.011332973556395036,0.013491635186184566,0.9503507825148408
673,Anne Arundel,2151,Anne Arundel Precinct 07-024,1764,39,37,29,387,2151,1,0.8200836820083682,0.1799163179916318,2046,0.01813110181311018,0.017201301720130173,0.013482101348210134,0.9511854951185496
674,Anne Arundel,2719,Anne Arundel Precinct 04-021,1999,76,43,27,720,2719,1,0.7351967635159985,0.26480323648400145,2573,0.027951452739977935,0.0158146377344612,0.009930121368150056,0.9463037881574108
675,Anne Arundel,1631,Anne Arundel Precinct 06-028,1259,66,27,30,372,1631,1,0.7719190680564071,0.22808093194359289,1508,0.0404659717964439,0.01655426118945432,0.018393623543838136,0.9245861434702637
676,Anne Arundel,2014,Anne Arundel Precinct 04-004,1753,54,69,41,261,2014,1,0.8704071499503475,0.12959285004965243,1850,0.026812313803376366,0.03426017874875869,0.02035749751737835,0.9185700099304865
677,Anne Arundel,1699,Anne Arundel Precinct 07-023,1518,50,46,30,181,1699,1,0.8934667451442024,0.10653325485579752,1573,0.02942907592701589,0.02707474985285462,0.017657445556209534,0.9258387286639199
678,Anne Arundel,2203,Anne Arundel Precinct 07-012,2057,17,37,28,146,2203,1,0.9337267362687245,0.06627326373127554,2121,0.007716749886518384,0.016795279164775308,0.01270994098955969,0.9627780299591466
679,Anne Arundel,1374,Anne Arundel Precinct 06-020,1317,60,56,30,57,1374,1,0.9585152838427947,0.04148471615720524,1228,0.043668122270742356,0.040756914119359534,0.021834061135371178,0.893740902474527
680,Anne Arundel,2873,Anne Arundel Precinct 07-005,2447,45,40,63,426,2873,1,0.8517229376957883,0.14827706230421162,2725,0.015663069961712496,0.013922728854855551,0.021928297946397494,0.9484859032370344
681,Anne Arundel,2103,Anne Arundel Precinct 06-019,1955,87,68,54,148,2103,1,0.9296243461721351,0.07037565382786495,1894,0.04136947218259629,0.03233475986685687,0.025677603423680456,0.9006181645268664
682,Anne Arundel,1864,Anne Arundel Precinct 06-026,1752,46,60,53,112,1864,1,0.9399141630901288,0.060085836909871244,1705,0.02467811158798283,0.032188841201716736,0.028433476394849784,0.9146995708154506
683,Anne Arundel,1098,Anne Arundel Precinct 06-027,991,18,27,17,107,1098,1,0.9025500910746812,0.09744990892531877,1036,0.01639344262295082,0.02459016393442623,0.015482695810564663,0.9435336976320583
684,Anne Arundel,2583,Anne Arundel Precinct 04-015,2338,59,78,88,245,2583,1,0.9051490514905149,0.0948509485094851,2358,0.022841656987998452,0.030197444831591175,0.034068912117692605,0.9128919860627178
685,Anne Arundel,3191,Anne Arundel Precinct 06-021,2803,26,32,21,388,3191,1,0.8784080225634597,0.12159197743654027,3112,0.00814791601378878,0.010028204324663115,0.006581009088060169,0.9752428705734879
686,Anne Arundel,1255,Anne Arundel Precinct 06-031,1182,45,26,18,73,1255,1,0.9418326693227091,0.05816733067729084,1166,0.035856573705179286,0.020717131474103586,0.014342629482071713,0.9290836653386454
687,Anne Arundel,3699,Anne Arundel Precinct 04-006,1002,151,20,23,2697,3699,1,0.2708840227088402,0.7291159772911597,3505,0.04082184374155177,0.005406866720735334,0.006217896728845634,0.9475533928088673
692,Anne Arundel,5212,Anne Arundel Precinct 01-023,1471,4,2,5,3741,5212,1,0.28223330775134303,0.717766692248657,5201,0.0007674597083653108,0.0003837298541826554,0.0009593246354566385,0.9978894858019954
693,Anne Arundel,5070,Anne Arundel Precinct 01-022,3022,87,30,44,2048,5070,1,0.5960552268244576,0.4039447731755424,4909,0.017159763313609466,0.005917159763313609,0.008678500986193294,0.9682445759368836
695,Anne Arundel,2020,Anne Arundel Precinct 04-020,1529,50,19,26,491,2020,1,0.7569306930693069,0.24306930693069306,1925,0.024752475247524754,0.009405940594059406,0.01287128712871287,0.9529702970297029
696,Anne Arundel,1510,Anne Arundel Precinct 04-005,1100,45,21,21,410,1510,1,0.7284768211920529,0.271523178807947,1423,0.029801324503311258,0.01390728476821192,0.01390728476821192,0.9423841059602649
697,Anne Arundel,1589,Anne Arundel Precinct 06-024,1066,129,34,43,523,1589,1,0.670862177470107,0.329137822529893,1383,0.08118313404657017,0.021397105097545627,0.027061044682190057,0.8703587161736942
698,Anne Arundel,1801,Anne Arundel Precinct 06-010,1437,30,14,14,364,1801,1,0.7978900610771793,0.20210993892282064,1743,0.01665741254858412,0.007773459189339256,0.007773459189339256,0.9677956690727374
699,Anne Arundel,2354,Anne Arundel Precinct 06-003,448,125,15,16,1906,2354,1,0.1903143585386576,0.8096856414613424,2198,0.05310110450297366,0.006372132540356839,0.006796941376380629,0.9337298215802888
700,Anne Arundel,3339,Anne Arundel Precinct 06-022,2543,75,31,35,796,3339,1,0.7616052710392333,0.2383947289607667,3198,0.022461814914645103,0.009284216831386643,0.010482180293501049,0.9577717879604672
701,Anne Arundel,2337,Anne Arundel Precinct 06-014,603,123,18,19,1734,2337,1,0.25802310654685495,0.7419768934531451,2177,0.05263157894736842,0.007702182284980745,0.008130081300813009,0.9315361574668378
702,Anne Arundel,1784,Anne Arundel Precinct 06-004,869,55,8,12,915,1784,1,0.48710762331838564,0.5128923766816144,1709,0.030829596412556053,0.004484304932735426,0.006726457399103139,0.9579596412556054
703,Anne Arundel,1134,Anne Arundel Precinct 06-013,492,82,26,23,642,1134,1,0.43386243386243384,0.5661375661375662,1003,0.07231040564373897,0.02292768959435626,0.020282186948853614,0.8844797178130511
704,Anne Arundel,1646,Anne Arundel Precinct 06-002,1480,78,71,86,166,1646,1,0.8991494532199271,0.10085054678007291,1411,0.04738760631834751,0.043134872417982986,0.05224787363304982,0.8572296476306197
705,Anne Arundel,1709,Anne Arundel Precinct 06-009,1578,74,64,56,131,1709,1,0.9233469865418373,0.07665301345816267,1515,0.04330017554125219,0.037448800468110006,0.032767700409596257,0.8864833235810415
706,Anne Arundel,1407,Anne Arundel Precinct 06-005,1154,42,31,26,253,1407,1,0.820184790334044,0.17981520966595593,1308,0.029850746268656716,0.02203269367448472,0.01847903340440654,0.929637526652452
707,Anne Arundel,1924,Anne Arundel Precinct 06-006,397,75,15,18,1527,1924,1,0.20634095634095634,0.7936590436590436,1816,0.03898128898128898,0.007796257796257797,0.009355509355509356,0.9438669438669439
708,Anne Arundel,1590,Anne Arundel Precinct 06-023,1409,79,42,58,181,1590,1,0.8861635220125786,0.11383647798742139,1411,0.04968553459119497,0.026415094339622643,0.03647798742138365,0.8874213836477988
709,Anne Arundel,2555,Anne Arundel Precinct 06-017,1841,78,40,34,714,2555,1,0.7205479452054795,0.27945205479452057,2403,0.030528375733855185,0.015655577299412915,0.013307240704500978,0.9405088062622309
710,Anne Arundel,1846,Anne Arundel Precinct 06-007,1193,68,21,20,653,1846,1,0.6462621885157096,0.35373781148429034,1737,0.03683640303358613,0.011375947995666305,0.010834236186348862,0.9409534127843987
711,Anne Arundel,2292,Anne Arundel Precinct 06-015,921,78,30,33,1371,2292,1,0.4018324607329843,0.5981675392670157,2151,0.034031413612565446,0.013089005235602094,0.014397905759162303,0.9384816753926701
712,Anne Arundel,1228,Anne Arundel Precinct 06-016,525,60,21,20,703,1228,1,0.42752442996742673,0.5724755700325733,1127,0.048859934853420196,0.01710097719869707,0.016286644951140065,0.9177524429967426
713,Anne Arundel,2314,Anne Arundel Precinct 06-001,1951,123,58,106,363,2314,1,0.8431287813310285,0.15687121866897147,2027,0.05315471045808125,0.025064822817631807,0.045808124459809856,0.8759723422644771
714,Anne Arundel,2135,Anne Arundel Precinct 06-012,1373,113,35,70,762,2135,1,0.6430913348946136,0.35690866510538644,1917,0.052927400468384074,0.01639344262295082,0.03278688524590164,0.8978922716627634
715,Anne Arundel,1420,Anne Arundel Precinct 06-008,1092,70,58,55,328,1420,1,0.7690140845070422,0.23098591549295774,1237,0.04929577464788732,0.04084507042253521,0.03873239436619718,0.8711267605633802
716,Anne Arundel,2303,Anne Arundel Precinct 06-018,1977,88,68,62,326,2303,1,0.8584455058619193,0.14155449413808077,2085,0.03821102909248806,0.029526704298740773,0.026921406860616587,0.9053408597481546
717,Anne Arundel,6313,Anne Arundel Precinct 06-011,4882,47,27,29,1431,6313,1,0.7733248851576113,0.22667511484238873,6210,0.007444954855060985,0.004276888959290353,0.004593695548867417,0.9836844606367813
718,Anne Arundel,1104,Anne Arundel Precinct 06-029,958,46,30,29,146,1104,1,0.8677536231884058,0.1322463768115942,999,0.041666666666666664,0.02717391304347826,0.026268115942028984,0.904891304347826
768,Anne Arundel,1446,Anne Arundel Precinct 05-007,1323,34,38,26,123,1446,1,0.9149377593360996,0.08506224066390042,1348,0.02351313969571231,0.02627939142461964,0.017980636237897647,0.9322268326417704
769,Anne Arundel,1348,Anne Arundel Precinct 02-013,1068,41,39,27,280,1348,1,0.7922848664688428,0.20771513353115728,1241,0.030415430267062313,0.028931750741839762,0.020029673590504452,0.9206231454005934
770,Anne Arundel,1465,Anne Arundel Precinct 05-024,1398,20,37,19,67,1465,1,0.9542662116040955,0.04573378839590444,1389,0.013651877133105802,0.025255972696245733,0.012969283276450512,0.948122866894198
771,Anne Arundel,918,Anne Arundel Precinct 05-029,841,9,29,16,77,918,1,0.9161220043572985,0.08387799564270153,864,0.00980392156862745,0.03159041394335512,0.017429193899782137,0.9411764705882353
772,Anne Arundel,1829,Anne Arundel Precinct 05-025,1691,25,25,28,138,1829,1,0.9245489338436303,0.0754510661563696,1751,0.01366867140513942,0.01366867140513942,0.01530891197375615,0.9573537452159651
773,Anne Arundel,1771,Anne Arundel Precinct 05-008,1550,33,35,34,221,1771,1,0.8752117447769622,0.12478825522303783,1669,0.018633540372670808,0.019762845849802372,0.019198193111236588,0.9424054206662902
774,Anne Arundel,512,Anne Arundel Precinct 05-032,276,33,5,12,236,512,1,0.5390625,0.4609375,462,0.064453125,0.009765625,0.0234375,0.90234375
775,Anne Arundel,1378,Anne Arundel Precinct 05-006,1331,29,35,40,47,1378,1,0.9658925979680697,0.034107402031930335,1274,0.02104499274310595,0.02539912917271408,0.02902757619738752,0.9245283018867925
776,Anne Arundel,1402,Anne Arundel Precinct 05-012,1244,22,26,17,158,1402,1,0.8873038516405135,0.11269614835948645,1337,0.015691868758915834,0.018544935805991442,0.012125534950071327,0.9536376604850214
777,Anne Arundel,956,Anne Arundel Precinct 05-030,750,21,12,12,206,956,1,0.7845188284518828,0.21548117154811716,911,0.021966527196652718,0.012552301255230125,0.012552301255230125,0.952928870292887
778,Anne Arundel,1159,Anne Arundel Precinct 03-009,1038,18,32,19,121,1159,1,0.8955996548748921,0.10440034512510785,1090,0.015530629853321829,0.027610008628127698,0.01639344262295082,0.9404659188955996
779,Anne Arundel,2203,Anne Arundel Precinct 03-005,1873,29,22,23,330,2203,1,0.8502042669087608,0.14979573309123922,2129,0.013163867453472538,0.009986382206082615,0.01044030866999546,0.9664094416704494
780,Anne Arundel,584,Anne Arundel Precinct 05-031,419,23,11,9,165,584,1,0.7174657534246576,0.2825342465753425,541,0.039383561643835614,0.018835616438356163,0.015410958904109588,0.9263698630136986
781,Anne Arundel,2474,Anne Arundel Precinct 02-020,1732,27,30,25,742,2474,1,0.7000808407437349,0.29991915925626517,2392,0.010913500404203719,0.012126111560226353,0.010105092966855295,0.9668552950687146
782,Anne Arundel,1793,Anne Arundel Precinct 02-011,1380,18,35,16,413,1793,1,0.769659788064696,0.23034021193530396,1724,0.010039040713887339,0.019520356943669825,0.008923591745677636,0.9615170105967652
783,Anne Arundel,2031,Anne Arundel Precinct 02-012,1669,16,20,24,362,2031,1,0.8217626784835057,0.17823732151649435,1971,0.007877892663712457,0.009847365829640572,0.011816838995568686,0.9704579025110783
784,Anne Arundel,3219,Anne Arundel Precinct 02-019,1615,53,37,34,1604,3219,1,0.501708605156881,0.49829139484311896,3095,0.016464740602671637,0.011494252873563218,0.01056228642435539,0.9614787200994097
785,Anne Arundel,3140,Anne Arundel Precinct 03-008,2252,77,51,35,888,3140,1,0.7171974522292993,0.28280254777070063,2977,0.024522292993630575,0.01624203821656051,0.011146496815286623,0.9480891719745222
786,Anne Arundel,2930,Anne Arundel Precinct 02-010,2396,31,42,32,534,2930,1,0.8177474402730376,0.18225255972696247,2825,0.010580204778156996,0.014334470989761093,0.010921501706484642,0.9641638225255973
787,Anne Arundel,3008,Anne Arundel Precinct 02-022,2642,32,42,37,366,3008,1,0.8783244680851063,0.12167553191489362,2897,0.010638297872340425,0.013962765957446808,0.012300531914893617,0.9630984042553191
788,Anne Arundel,2034,Anne Arundel Precinct 03-025,1099,60,26,24,935,2034,1,0.54031465093412,0.45968534906588004,1924,0.029498525073746312,0.012782694198623401,0.011799410029498525,0.9459193706981318
789,Anne Arundel,3117,Anne Arundel Precinct 03-004,2564,48,41,35,553,3117,1,0.8225858196984279,0.17741418030157202,2993,0.015399422521655439,0.01315367340391402,0.01122874558870709,0.9602181584857234
790,Anne Arundel,3560,Anne Arundel Precinct 03-006,2742,84,58,55,818,3560,1,0.7702247191011236,0.22977528089887642,3363,0.02359550561797753,0.016292134831460674,0.01544943820224719,0.9446629213483146
