,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
39,Wicomico,2655,Wicomico Precinct 08-004,2377,139,43,32,27,17,96,2655,1,0.8952919020715631,0.052354048964218455,0.016195856873822974,0.03615819209039548,2579,0.012052730696798493,0.010169491525423728,0.0064030131826741995,0.9713747645951035
40,Wicomico,1417,Wicomico Precinct 08-003,1099,175,36,4,11,2,107,1417,1,0.7755822159491884,0.12350035285815103,0.025405786873676783,0.07551164431898377,1400,0.0028228652081863093,0.0077628793225123505,0.0014114326040931546,0.9880028228652082
41,Wicomico,3627,Wicomico Precinct 13-003,2905,448,121,84,77,50,153,3627,1,0.8009374138406397,0.12351805900192997,0.03336090432864627,0.04218362282878412,3416,0.02315963606286187,0.021229666390956713,0.013785497656465398,0.941825199889716
42,Wicomico,5667,Wicomico Precinct 13-001,4424,774,267,16,4,6,202,5667,1,0.7806599611787541,0.13658020116463737,0.047114875595553204,0.03564496206105523,5641,0.0028233633315687314,0.0007058408328921829,0.0010587612493382743,0.9954120345862009
43,Wicomico,250,Wicomico Precinct 09-004,167,58,10,2,0,4,15,250,1,0.668,0.232,0.04,0.06,244,0.008,0.0,0.016,0.976
44,Wicomico,3486,Wicomico Precinct 09-002,433,2849,153,161,7,0,51,3486,1,0.12421113023522662,0.8172690763052208,0.04388984509466437,0.014629948364888123,3318,0.04618473895582329,0.002008032128514056,0.0,0.9518072289156626
45,Wicomico,4914,Wicomico Precinct 13-002,2595,1610,482,48,13,11,227,4914,1,0.5280830280830281,0.32763532763532766,0.09808709808709809,0.046194546194546195,4842,0.009768009768009768,0.0026455026455026454,0.0022385022385022386,0.9853479853479854
46,Wicomico,942,Wicomico Precinct 08-002,842,58,13,54,39,21,29,942,1,0.8938428874734607,0.06157112526539278,0.013800424628450107,0.03078556263269639,828,0.05732484076433121,0.041401273885350316,0.022292993630573247,0.8789808917197452
47,Wicomico,4839,Wicomico Precinct 05-002,2095,2157,428,10,3,2,159,4839,1,0.43294069022525317,0.44575325480471173,0.08844802645174622,0.0328580285182889,4824,0.0020665426741062203,0.0006199628022318661,0.0004133085348212441,0.9969001859888407
48,Wicomico,1862,Wicomico Precinct 09-001,1151,609,62,161,7,1,40,1862,1,0.6181525241675617,0.32706766917293234,0.03329752953813104,0.021482277121374866,1693,0.08646616541353383,0.0037593984962406013,0.0005370569280343716,0.9092373791621912
49,Wicomico,1802,Wicomico Precinct 08-001,1508,184,41,14,23,8,69,1802,1,0.8368479467258602,0.10210876803551609,0.022752497225305215,0.03829078801331853,1757,0.00776914539400666,0.012763596004439512,0.004439511653718091,0.9750277469478358
50,Wicomico,4054,Wicomico Precinct 05-004,3069,653,140,43,40,9,192,4054,1,0.7570300937345831,0.16107548100641342,0.03453379378391712,0.04736063147508633,3962,0.010606808090774543,0.00986679822397632,0.002220029600394672,0.9773063640848545
51,Wicomico,2944,Wicomico Precinct 05-003,2205,438,162,19,19,7,139,2944,1,0.7489809782608695,0.1487771739130435,0.05502717391304348,0.04721467391304348,2899,0.006453804347826087,0.006453804347826087,0.002377717391304348,0.9847146739130435
52,Wicomico,1613,Wicomico Precinct 05-005,1432,106,36,45,39,15,39,1613,1,0.8877867327960323,0.0657160570365778,0.022318660880347178,0.02417854928704278,1514,0.027898326100433975,0.02417854928704278,0.009299442033477991,0.9386236825790453
53,Wicomico,513,Wicomico Precinct 11-002,265,207,9,20,2,0,32,513,1,0.5165692007797271,0.40350877192982454,0.017543859649122806,0.06237816764132553,491,0.03898635477582846,0.003898635477582846,0.0,0.9571150097465887
54,Wicomico,3288,Wicomico Precinct 11-001,2372,617,117,12,1,0,182,3288,1,0.7214111922141119,0.1876520681265207,0.035583941605839414,0.05535279805352798,3275,0.0036496350364963502,0.00030413625304136254,0.0,0.9960462287104623
55,Wicomico,3390,Wicomico Precinct 05-006,2762,327,97,44,35,16,204,3390,1,0.8147492625368732,0.09646017699115045,0.028613569321533923,0.06017699115044248,3295,0.012979351032448377,0.01032448377581121,0.00471976401179941,0.971976401179941
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,232,47,52,54,37,44,2236,1,0.8555456171735242,0.1037567084078712,0.02101967799642218,0.01967799642218247,2093,0.023255813953488372,0.024150268336314847,0.016547406082289804,0.936046511627907
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,264,33,84,29,51,41,1839,1,0.8162044589450789,0.14355628058727568,0.01794453507340946,0.022294725394236,1675,0.04567699836867863,0.015769439912996192,0.02773246329526917,0.910821098423056
58,Anne Arundel,2418,Anne Arundel Precinct 07-010,2221,82,65,41,48,27,50,2418,1,0.9185277088502894,0.03391232423490488,0.026881720430107527,0.0206782464846981,2302,0.01695616211745244,0.019851116625310174,0.011166253101736972,0.9520264681555004
59,Anne Arundel,2785,Anne Arundel Precinct 07-019,2513,40,144,24,18,17,88,2785,1,0.9023339317773789,0.01436265709156194,0.05170556552962298,0.03159784560143627,2726,0.008617594254937163,0.006463195691202872,0.006104129263913824,0.9788150807899462
60,Anne Arundel,2923,Anne Arundel Precinct 07-006,2723,34,83,29,37,47,83,2923,1,0.9315771467670202,0.011631885049606569,0.028395484091686622,0.028395484091686622,2810,0.009921313718782073,0.012658227848101266,0.016079370509750255,0.9613410879233664
61,Wicomico,1426,Wicomico Precinct 05-007,1279,77,21,17,34,9,49,1426,1,0.896914446002805,0.05399719495091164,0.014726507713884993,0.034361851332398316,1366,0.011921458625525946,0.023842917251051893,0.006311360448807854,0.9579242636746143
62,Wicomico,662,Wicomico Precinct 06-001,619,23,9,6,13,3,11,662,1,0.9350453172205438,0.03474320241691843,0.013595166163141994,0.01661631419939577,640,0.00906344410876133,0.019637462235649546,0.004531722054380665,0.9667673716012085
63,Wicomico,2682,Wicomico Precinct 04-001,2441,116,48,3,10,0,77,2682,1,0.9101416853094706,0.04325130499627144,0.017897091722595078,0.02870991797166294,2669,0.0011185682326621924,0.0037285607755406414,0.0,0.9951528709917972
64,Wicomico,1593,Wicomico Precinct 14-001,1453,74,32,5,5,2,34,1593,1,0.9121155053358443,0.04645323289391086,0.020087884494664157,0.021343377275580666,1581,0.003138731952291274,0.003138731952291274,0.0012554927809165098,0.992467043314501
65,Worcester,1868,Worcester Precinct 04-003,1543,224,52,5,5,1,49,1868,1,0.826017130620985,0.11991434689507495,0.027837259100642397,0.026231263383297645,1857,0.0026766595289079227,0.0026766595289079227,0.0005353319057815846,0.9941113490364025
