,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
45,Wicomico,4914,Wicomico Precinct 13-002,2595,1610,482,64,5,227,4914,1,0.5280830280830281,0.32763532763532766,0.09808709808709809,0.046194546194546195,4845,0.013024013024013023,0.0010175010175010174,0.985958485958486
46,Wicomico,942,Wicomico Precinct 08-002,842,58,13,57,2,29,942,1,0.8938428874734607,0.06157112526539278,0.013800424628450107,0.03078556263269639,883,0.06050955414012739,0.0021231422505307855,0.9373673036093418
47,Wicomico,4839,Wicomico Precinct 05-002,2095,2157,428,89,0,159,4839,1,0.43294069022525317,0.44575325480471173,0.08844802645174622,0.0328580285182889,4750,0.01839222979954536,0.0,0.9816077702004546
48,Wicomico,1862,Wicomico Precinct 09-001,1151,609,62,52,4,40,1862,1,0.6181525241675617,0.32706766917293234,0.03329752953813104,0.021482277121374866,1806,0.027926960257787327,0.0021482277121374865,0.9699248120300752
49,Wicomico,1802,Wicomico Precinct 08-001,1508,184,41,33,0,69,1802,1,0.8368479467258602,0.10210876803551609,0.022752497225305215,0.03829078801331853,1769,0.018312985571587125,0.0,0.9816870144284129
50,Wicomico,4054,Wicomico Precinct 05-004,3069,653,140,96,5,192,4054,1,0.7570300937345831,0.16107548100641342,0.03453379378391712,0.04736063147508633,3953,0.023680315737543166,0.00123334977799704,0.9750863344844598
51,Wicomico,2944,Wicomico Precinct 05-003,2205,438,162,72,1,139,2944,1,0.7489809782608695,0.1487771739130435,0.05502717391304348,0.04721467391304348,2871,0.024456521739130436,0.00033967391304347825,0.975203804347826
52,Wicomico,1613,Wicomico Precinct 05-005,1432,106,36,42,2,39,1613,1,0.8877867327960323,0.0657160570365778,0.022318660880347178,0.02417854928704278,1569,0.026038437693738377,0.0012399256044637321,0.9727216367017979
53,Wicomico,513,Wicomico Precinct 11-002,265,207,9,23,0,32,513,1,0.5165692007797271,0.40350877192982454,0.017543859649122806,0.06237816764132553,490,0.04483430799220273,0.0,0.9551656920077972
54,Wicomico,3288,Wicomico Precinct 11-001,2372,617,117,89,4,182,3288,1,0.7214111922141119,0.1876520681265207,0.035583941605839414,0.05535279805352798,3195,0.027068126520681267,0.0012165450121654502,0.9717153284671532
