,COUNTY,VAP,NAME,WVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
679,Anne Arundel,1374,Anne Arundel Precinct 06-020,1317,160,6,57,1374,1,0.9585152838427947,0.04148471615720524,1208,0.11644832605531295,0.004366812227074236,0.8791848617176128
680,Anne Arundel,2873,Anne Arundel Precinct 07-005,2447,106,10,426,2873,1,0.8517229376957883,0.14827706230421162,2757,0.03689523146536721,0.003480682213713888,0.9596240863209189
681,Anne Arundel,2103,Anne Arundel Precinct 06-019,1955,152,13,148,2103,1,0.9296243461721351,0.07037565382786495,1938,0.07227769852591535,0.006181645268663814,0.9215406562054208
682,Anne Arundel,1864,Anne Arundel Precinct 06-026,1752,137,10,112,1864,1,0.9399141630901288,0.060085836909871244,1717,0.07349785407725322,0.00536480686695279,0.921137339055794
683,Anne Arundel,1098,Anne Arundel Precinct 06-027,991,44,5,107,1098,1,0.9025500910746812,0.09744990892531877,1049,0.04007285974499089,0.004553734061930784,0.9553734061930783
684,Anne Arundel,2583,Anne Arundel Precinct 04-015,2338,155,8,245,2583,1,0.9051490514905149,0.0948509485094851,2420,0.0600077429345722,0.003097173828881146,0.9368950832365467
685,Anne Arundel,3191,Anne Arundel Precinct 06-021,2803,195,15,388,3191,1,0.8784080225634597,0.12159197743654027,2981,0.061109370103415855,0.004700720777185835,0.9341899091193983
686,Anne Arundel,1255,Anne Arundel Precinct 06-031,1182,70,6,73,1255,1,0.9418326693227091,0.05816733067729084,1179,0.055776892430278883,0.004780876494023904,0.9394422310756972
687,Anne Arundel,3699,Anne Arundel Precinct 04-006,1002,176,37,2697,3699,1,0.2708840227088402,0.7291159772911597,3486,0.04758042714247094,0.010002703433360368,0.9424168694241687
692,Anne Arundel,5212,Anne Arundel Precinct 01-023,1471,27,3,3741,5212,1,0.28223330775134303,0.717766692248657,5182,0.005180353031465848,0.0005755947812739831,0.9942440521872602
693,Anne Arundel,5070,Anne Arundel Precinct 01-022,3022,177,29,2048,5070,1,0.5960552268244576,0.4039447731755424,4864,0.034911242603550295,0.005719921104536489,0.9593688362919132
695,Anne Arundel,2020,Anne Arundel Precinct 04-020,1529,98,7,491,2020,1,0.7569306930693069,0.24306930693069306,1915,0.048514851485148516,0.0034653465346534654,0.948019801980198
696,Anne Arundel,1510,Anne Arundel Precinct 04-005,1100,71,4,410,1510,1,0.7284768211920529,0.271523178807947,1435,0.04701986754966887,0.0026490066225165563,0.9503311258278145
697,Anne Arundel,1589,Anne Arundel Precinct 06-024,1066,167,36,523,1589,1,0.670862177470107,0.329137822529893,1386,0.10509754562617998,0.022655758338577723,0.8722466960352423
698,Anne Arundel,1801,Anne Arundel Precinct 06-010,1437,62,6,364,1801,1,0.7978900610771793,0.20210993892282064,1733,0.034425319267073845,0.003331482509716824,0.9622431982232094
699,Anne Arundel,2354,Anne Arundel Precinct 06-003,448,125,96,1906,2354,1,0.1903143585386576,0.8096856414613424,2133,0.05310110450297366,0.04078164825828377,0.9061172472387425
700,Anne Arundel,3339,Anne Arundel Precinct 06-022,2543,110,22,796,3339,1,0.7616052710392333,0.2383947289607667,3207,0.03294399520814615,0.006588799041629231,0.9604672057502246
701,Anne Arundel,2337,Anne Arundel Precinct 06-014,603,99,83,1734,2337,1,0.25802310654685495,0.7419768934531451,2155,0.04236200256739409,0.03551561831407788,0.922122379118528
702,Anne Arundel,1784,Anne Arundel Precinct 06-004,869,99,28,915,1784,1,0.48710762331838564,0.5128923766816144,1657,0.0554932735426009,0.01569506726457399,0.9288116591928252
703,Anne Arundel,1134,Anne Arundel Precinct 06-013,492,91,39,642,1134,1,0.43386243386243384,0.5661375661375662,1004,0.08024691358024691,0.03439153439153439,0.8853615520282186
704,Anne Arundel,1646,Anne Arundel Precinct 06-002,1480,160,19,166,1646,1,0.8991494532199271,0.10085054678007291,1467,0.09720534629404617,0.011543134872417983,0.8912515188335358
705,Anne Arundel,1709,Anne Arundel Precinct 06-009,1578,141,6,131,1709,1,0.9233469865418373,0.07665301345816267,1562,0.08250438853130486,0.003510825043885313,0.9139847864248098
706,Anne Arundel,1407,Anne Arundel Precinct 06-005,1154,83,12,253,1407,1,0.820184790334044,0.17981520966595593,1312,0.058990760483297794,0.008528784648187633,0.9324804548685146
707,Anne Arundel,1924,Anne Arundel Precinct 06-006,397,57,36,1527,1924,1,0.20634095634095634,0.7936590436590436,1831,0.029625779625779627,0.018711018711018712,0.9516632016632016
708,Anne Arundel,1590,Anne Arundel Precinct 06-023,1409,141,13,181,1590,1,0.8861635220125786,0.11383647798742139,1436,0.08867924528301886,0.008176100628930818,0.9031446540880503
709,Anne Arundel,2555,Anne Arundel Precinct 06-017,1841,126,36,714,2555,1,0.7205479452054795,0.27945205479452057,2393,0.049315068493150684,0.014090019569471625,0.9365949119373776
710,Anne Arundel,1846,Anne Arundel Precinct 06-007,1193,101,30,653,1846,1,0.6462621885157096,0.35373781148429034,1715,0.05471289274106175,0.016251354279523293,0.929035752979415
711,Anne Arundel,2292,Anne Arundel Precinct 06-015,921,98,38,1371,2292,1,0.4018324607329843,0.5981675392670157,2156,0.04275741710296684,0.016579406631762654,0.9406631762652705
712,Anne Arundel,1228,Anne Arundel Precinct 06-016,525,57,43,703,1228,1,0.42752442996742673,0.5724755700325733,1128,0.046416938110749185,0.03501628664495114,0.9185667752442996
713,Anne Arundel,2314,Anne Arundel Precinct 06-001,1951,197,30,363,2314,1,0.8431287813310285,0.15687121866897147,2087,0.08513396715643906,0.01296456352636128,0.9019014693171996
714,Anne Arundel,2135,Anne Arundel Precinct 06-012,1373,140,46,762,2135,1,0.6430913348946136,0.35690866510538644,1949,0.06557377049180328,0.021545667447306793,0.91288056206089
715,Anne Arundel,1420,Anne Arundel Precinct 06-008,1092,112,32,328,1420,1,0.7690140845070422,0.23098591549295774,1276,0.07887323943661972,0.022535211267605635,0.8985915492957747
716,Anne Arundel,2303,Anne Arundel Precinct 06-018,1977,190,25,326,2303,1,0.8584455058619193,0.14155449413808077,2088,0.08250108554059922,0.010855405992184108,0.9066435084672166
717,Anne Arundel,6313,Anne Arundel Precinct 06-011,4882,74,17,1431,6313,1,0.7733248851576113,0.22667511484238873,6222,0.011721843814351339,0.002692856011405037,0.9855853001742436
718,Anne Arundel,1104,Anne Arundel Precinct 06-029,958,74,14,146,1104,1,0.8677536231884058,0.1322463768115942,1016,0.06702898550724638,0.012681159420289856,0.9202898550724637
768,Anne Arundel,1446,Anne Arundel Precinct 05-007,1323,62,6,123,1446,1,0.9149377593360996,0.08506224066390042,1378,0.042876901798063624,0.004149377593360996,0.9529737206085753
769,Anne Arundel,1348,Anne Arundel Precinct 02-013,1068,57,9,280,1348,1,0.7922848664688428,0.20771513353115728,1282,0.04228486646884273,0.0066765578635014835,0.9510385756676558
770,Anne Arundel,1465,Anne Arundel Precinct 05-024,1398,63,7,67,1465,1,0.9542662116040955,0.04573378839590444,1395,0.043003412969283276,0.00477815699658703,0.9522184300341296
771,Anne Arundel,918,Anne Arundel Precinct 05-029,841,27,3,77,918,1,0.9161220043572985,0.08387799564270153,888,0.029411764705882353,0.0032679738562091504,0.9673202614379085
772,Anne Arundel,1829,Anne Arundel Precinct 05-025,1691,64,4,138,1829,1,0.9245489338436303,0.0754510661563696,1761,0.034991798797156914,0.002186987424822307,0.9628212137780208
773,Anne Arundel,1771,Anne Arundel Precinct 05-008,1550,70,5,221,1771,1,0.8752117447769622,0.12478825522303783,1696,0.039525691699604744,0.00282326369282891,0.9576510446075663
774,Anne Arundel,512,Anne Arundel Precinct 05-032,276,32,19,236,512,1,0.5390625,0.4609375,461,0.0625,0.037109375,0.900390625
775,Anne Arundel,1378,Anne Arundel Precinct 05-006,1331,83,3,47,1378,1,0.9658925979680697,0.034107402031930335,1292,0.0602322206095791,0.0021770682148040637,0.9375907111756169
776,Anne Arundel,1402,Anne Arundel Precinct 05-012,1244,40,5,158,1402,1,0.8873038516405135,0.11269614835948645,1357,0.028530670470756064,0.003566333808844508,0.9679029957203994
777,Anne Arundel,956,Anne Arundel Precinct 05-030,750,31,9,206,956,1,0.7845188284518828,0.21548117154811716,916,0.032426778242677826,0.009414225941422594,0.9581589958158996
778,Anne Arundel,1159,Anne Arundel Precinct 03-009,1038,44,4,121,1159,1,0.8955996548748921,0.10440034512510785,1111,0.03796376186367558,0.003451251078515962,0.9585849870578085
779,Anne Arundel,2203,Anne Arundel Precinct 03-005,1873,73,11,330,2203,1,0.8502042669087608,0.14979573309123922,2119,0.03313663186563777,0.004993191103041307,0.9618701770313209
780,Anne Arundel,584,Anne Arundel Precinct 05-031,419,27,10,165,584,1,0.7174657534246576,0.2825342465753425,547,0.046232876712328765,0.017123287671232876,0.9366438356164384
781,Anne Arundel,2474,Anne Arundel Precinct 02-020,1732,76,9,742,2474,1,0.7000808407437349,0.29991915925626517,2389,0.030719482619240096,0.003637833468067906,0.965642683912692
782,Anne Arundel,1793,Anne Arundel Precinct 02-011,1380,47,3,413,1793,1,0.769659788064696,0.23034021193530396,1743,0.026213050752928055,0.0016731734523145567,0.9721137757947574
783,Anne Arundel,2031,Anne Arundel Precinct 02-012,1669,52,8,362,2031,1,0.8217626784835057,0.17823732151649435,1971,0.025603151157065487,0.003938946331856229,0.9704579025110783
784,Anne Arundel,3219,Anne Arundel Precinct 02-019,1615,105,13,1604,3219,1,0.501708605156881,0.49829139484311896,3101,0.032618825722273995,0.00403852127990059,0.9633426529978254
785,Anne Arundel,3140,Anne Arundel Precinct 03-008,2252,141,42,888,3140,1,0.7171974522292993,0.28280254777070063,2957,0.04490445859872611,0.01337579617834395,0.9417197452229299
786,Anne Arundel,2930,Anne Arundel Precinct 02-010,2396,89,12,534,2930,1,0.8177474402730376,0.18225255972696247,2829,0.03037542662116041,0.004095563139931741,0.9655290102389078
787,Anne Arundel,3008,Anne Arundel Precinct 02-022,2642,80,3,366,3008,1,0.8783244680851063,0.12167553191489362,2925,0.026595744680851064,0.0009973404255319148,0.972406914893617
788,Anne Arundel,2034,Anne Arundel Precinct 03-025,1099,92,32,935,2034,1,0.54031465093412,0.45968534906588004,1910,0.04523107177974434,0.015732546705998034,0.9390363815142576
789,Anne Arundel,3117,Anne Arundel Precinct 03-004,2564,76,11,553,3117,1,0.8225858196984279,0.17741418030157202,3030,0.02438241899262111,0.003529034327879371,0.9720885466794995
790,Anne Arundel,3560,Anne Arundel Precinct 03-006,2742,159,34,818,3560,1,0.7702247191011236,0.22977528089887642,3367,0.04466292134831461,0.009550561797752809,0.9457865168539326
791,Anne Arundel,1490,Anne Arundel Precinct 01-002,1350,87,11,140,1490,1,0.9060402684563759,0.09395973154362416,1392,0.05838926174496644,0.00738255033557047,0.934228187919463
792,Anne Arundel,1231,Anne Arundel Precinct 01-011,1154,54,4,77,1231,1,0.9374492282696995,0.06255077173030058,1173,0.043866774979691305,0.003249390739236393,0.9528838342810723
793,Anne Arundel,1787,Anne Arundel Precinct 01-007,1593,65,4,194,1787,1,0.8914381645215445,0.1085618354784555,1718,0.03637381085618355,0.002238388360380526,0.9613878007834359
794,Anne Arundel,1878,Anne Arundel Precinct 01-001,1569,84,14,309,1878,1,0.8354632587859425,0.1645367412140575,1780,0.04472843450479233,0.007454739084132056,0.9478168264110756
795,Anne Arundel,1406,Anne Arundel Precinct 01-010,1312,66,5,94,1406,1,0.9331436699857752,0.06685633001422475,1335,0.04694167852062589,0.0035561877667140826,0.94950213371266
799,Anne Arundel,2426,Anne Arundel Precinct 01-008,2132,92,6,294,2426,1,0.8788128606760099,0.12118713932399011,2328,0.03792250618301731,0.00247320692497939,0.9596042868920033
