,COUNTY,VAP,NAME,WVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
459,Charles,3458,Charles Precinct 06-015,1025,246,58,35,2433,3458,1,0.2964141122035859,0.7035858877964141,3119,0.07113938692886061,0.0167727009832273,0.010121457489878543,0.9019664545980336
460,Charles,1862,Charles Precinct 06-011,599,248,63,36,1263,1862,1,0.3216970998925886,0.6783029001074113,1515,0.13319011815252416,0.03383458646616541,0.01933404940923738,0.813641245972073
461,Charles,3992,Charles Precinct 06-007,1423,277,72,34,2569,3992,1,0.3564629258517034,0.6435370741482966,3609,0.06938877755511022,0.018036072144288578,0.008517034068136272,0.9040581162324649
462,Charles,2617,Charles Precinct 06-005,575,378,74,29,2042,2617,1,0.21971723347344288,0.7802827665265571,2136,0.14444019870080244,0.028276652655712647,0.01108139090561712,0.8162017577378677
463,Charles,1743,Charles Precinct 06-017,855,124,36,15,888,1743,1,0.4905335628227194,0.5094664371772806,1568,0.07114170969592656,0.020654044750430294,0.008605851979345954,0.8995983935742972
464,Charles,2599,Charles Precinct 06-022,659,210,43,21,1940,2599,1,0.2535590611773759,0.7464409388226241,2325,0.08080030781069643,0.01654482493266641,0.008080030781069641,0.8945748364755676
465,Charles,1568,Charles Precinct 06-012,649,144,36,25,919,1568,1,0.4139030612244898,0.5860969387755102,1363,0.09183673469387756,0.02295918367346939,0.01594387755102041,0.8692602040816326
466,Charles,2347,Charles Precinct 08-004,1718,229,153,46,629,2347,1,0.731998295696634,0.268001704303366,1919,0.09757136770345122,0.0651896037494674,0.0195994887089902,0.8176395398380912
467,Charles,1345,Charles Precinct 08-005,1032,20,20,7,313,1345,1,0.7672862453531598,0.23271375464684016,1298,0.01486988847583643,0.01486988847583643,0.0052044609665427505,0.9650557620817843
468,Charles,2167,Charles Precinct 08-003,1317,172,81,22,850,2167,1,0.6077526534379326,0.3922473465620674,1892,0.0793724042455007,0.0373788647900323,0.01015228426395939,0.8730964467005076
469,Charles,2164,Charles Precinct 08-002,1349,214,69,39,815,2164,1,0.6233826247689463,0.3766173752310536,1842,0.0988909426987061,0.03188539741219963,0.018022181146025877,0.8512014787430684
720,Charles,3857,Charles Precinct 01-001,2541,247,127,33,1316,3857,1,0.6588021778584392,0.3411978221415608,3450,0.06403940886699508,0.032927145449831476,0.00855587243971999,0.8944775732434534
721,Charles,3570,Charles Precinct 06-002,2072,323,157,54,1498,3570,1,0.5803921568627451,0.4196078431372549,3036,0.09047619047619047,0.04397759103641457,0.015126050420168067,0.8504201680672269
722,Charles,1581,Charles Precinct 06-003,476,251,59,27,1105,1581,1,0.3010752688172043,0.6989247311827957,1244,0.15876027830487033,0.03731815306767868,0.017077798861480076,0.7868437697659709
723,Charles,1855,Charles Precinct 06-019,983,220,64,40,872,1855,1,0.5299191374663073,0.47008086253369274,1531,0.11859838274932614,0.03450134770889488,0.0215633423180593,0.8253369272237197
724,Charles,2458,Charles Precinct 06-004,796,376,75,41,1662,2458,1,0.32384052074857606,0.676159479251424,1966,0.1529698942229455,0.030512611879576892,0.016680227827502035,0.7998372660699756
725,Charles,1494,Charles Precinct 06-020,801,121,35,17,693,1494,1,0.536144578313253,0.463855421686747,1321,0.08099062918340026,0.023427041499330656,0.011378848728246318,0.8842034805890228
726,Charles,1968,Charles Precinct 06-010,596,445,98,39,1372,1968,1,0.30284552845528456,0.6971544715447154,1386,0.22611788617886178,0.049796747967479675,0.019817073170731708,0.7042682926829268
727,Charles,1478,Charles Precinct 06-021,501,221,38,21,977,1478,1,0.33897158322056836,0.6610284167794317,1198,0.14952638700947227,0.02571041948579161,0.014208389715832206,0.8105548037889039
728,Charles,3773,Charles Precinct 06-013,1407,367,97,46,2366,3773,1,0.37291280148423006,0.62708719851577,3263,0.09727007686191359,0.02570898489265836,0.012191889742910151,0.8648290485025178
