Precinct,ANNISSA ESSAIBI GEORGE,RICHARD A SPAGNUOLO,ANDREA JOY CAMPBELL,KIM M JANEY,MICHELLE WU,JON SANTIAGO,ROBERT CAPPUCCI,JOHN F BARROS,Total Votes,Unresolved Write-In
"WARD 17, PRECINCT 3",35.0,0.0,168.0,189.0,82.0,2.0,2.0,21.0,500.0,1.0
"WARD 17, PRECINCT 4",81.0,1.0,170.0,203.0,132.0,1.0,2.0,31.0,621.0,0.0
"WARD 17, PRECINCT 5",15.0,0.0,52.0,95.0,23.0,0.0,0.0,1.0,186.0,0.0
"WARD 17, PRECINCT 6",48.0,0.0,142.0,100.0,80.0,1.0,1.0,16.0,388.0,0.0
"WARD 17, PRECINCT 7",10.0,0.0,59.0,79.0,21.0,0.0,0.0,6.0,175.0,0.0
"WARD 17, PRECINCT 8",23.0,0.0,114.0,120.0,47.0,0.0,0.0,4.0,308.0,0.0
"WARD 17, PRECINCT 9",25.0,0.0,205.0,80.0,71.0,1.0,1.0,9.0,392.0,0.0
"WARD 18, PRECINCT 1",42.0,1.0,194.0,281.0,58.0,0.0,1.0,18.0,595.0,0.0
"WARD 18, PRECINCT 10",152.0,0.0,157.0,90.0,454.0,1.0,3.0,13.0,870.0,0.0
"WARD 18, PRECINCT 11",41.0,2.0,63.0,120.0,106.0,0.0,1.0,6.0,339.0,0.0
"WARD 18, PRECINCT 12",105.0,0.0,85.0,132.0,157.0,0.0,6.0,7.0,492.0,0.0
"WARD 18, PRECINCT 13",43.0,0.0,46.0,83.0,66.0,2.0,0.0,5.0,245.0,0.0
"WARD 18, PRECINCT 14",35.0,0.0,63.0,105.0,56.0,1.0,1.0,4.0,265.0,0.0
"WARD 18, PRECINCT 15",38.0,0.0,105.0,195.0,95.0,1.0,1.0,12.0,448.0,1.0
"WARD 18, PRECINCT 16",291.0,0.0,114.0,110.0,185.0,0.0,17.0,13.0,730.0,0.0
"WARD 18, PRECINCT 17",142.0,2.0,65.0,144.0,105.0,4.0,1.0,17.0,480.0,0.0
"WARD 18, PRECINCT 18",132.0,3.0,61.0,187.0,142.0,4.0,14.0,10.0,553.0,0.0
"WARD 18, PRECINCT 19",206.0,1.0,124.0,223.0,186.0,2.0,6.0,19.0,767.0,0.0
"WARD 18, PRECINCT 2",18.0,0.0,75.0,188.0,49.0,1.0,0.0,6.0,338.0,1.0
"WARD 18, PRECINCT 20",373.0,0.0,61.0,120.0,171.0,1.0,9.0,4.0,740.0,1.0
"WARD 18, PRECINCT 21",15.0,0.0,133.0,333.0,85.0,3.0,1.0,6.0,576.0,0.0
"WARD 18, PRECINCT 22",278.0,0.0,116.0,98.0,232.0,5.0,2.0,10.0,741.0,0.0
"WARD 18, PRECINCT 23",22.0,0.0,33.0,125.0,77.0,2.0,1.0,5.0,265.0,0.0
"WARD 18, PRECINCT 3",33.0,0.0,82.0,247.0,69.0,0.0,1.0,3.0,435.0,0.0
"WARD 18, PRECINCT 4",27.0,0.0,125.0,238.0,84.0,0.0,0.0,4.0,478.0,0.0
"WARD 18, PRECINCT 5",41.0,1.0,102.0,318.0,83.0,3.0,1.0,13.0,562.0,0.0
"WARD 18, PRECINCT 6",35.0,0.0,132.0,366.0,94.0,0.0,1.0,13.0,641.0,0.0
"WARD 18, PRECINCT 7",60.0,1.0,134.0,120.0,134.0,3.0,1.0,7.0,460.0,0.0
"WARD 18, PRECINCT 8",102.0,2.0,99.0,348.0,176.0,2.0,2.0,18.0,750.0,1.0
"WARD 18, PRECINCT 9",113.0,1.0,108.0,104.0,224.0,3.0,4.0,8.0,565.0,0.0
"WARD 19, PRECINCT 1",24.0,0.0,159.0,86.0,273.0,0.0,2.0,5.0,549.0,0.0
"WARD 19, PRECINCT 10",89.0,2.0,135.0,105.0,361.0,2.0,5.0,14.0,713.0,0.0
"WARD 19, PRECINCT 11",31.0,0.0,58.0,109.0,180.0,0.0,2.0,5.0,385.0,0.0
"WARD 19, PRECINCT 12",63.0,1.0,196.0,62.0,208.0,2.0,5.0,5.0,542.0,0.0
