,COUNTYFP20,VAP,Precinct,WVAP,BVAP,HVAP,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,BMAY21PNone,BMAY21PAG_pct,BMAY21PAC_pct,BMAY21PKJ_pct,BMAY21PMW_pct,BMAY21PNone_pct
1185,025,3113,"WARD 21, PRECINCT 8",1829,75,266,12,61,31,171,943,3113,1,0.5875361387728879,0.024092515258592996,0.08544812078380983,0.30292322518470927,2838,0.0038548024413748794,0.019595245743655638,0.009958239640218438,0.05493093478959203,0.911660777385159
1186,025,3146,"WARD 10, PRECINCT 4",938,356,571,39,29,134,135,1281,3146,1,0.29815638906548,0.11315956770502225,0.18150031786395424,0.40718372536554354,2809,0.012396694214876033,0.009218054672600126,0.04259376986649714,0.04291163382072473,0.892879847425302
1187,025,1948,"WARD 14, PRECINCT 4",111,1047,510,20,76,133,59,280,1948,1,0.056981519507186856,0.5374743326488707,0.2618069815195072,0.1437371663244353,1660,0.01026694045174538,0.039014373716632446,0.06827515400410678,0.030287474332648872,0.8521560574948666
1188,025,991,"WARD 14, PRECINCT 12",27,645,215,5,38,92,21,104,991,1,0.027245206861755803,0.6508577194752775,0.21695257315842584,0.10494450050454086,835,0.005045408678102927,0.03834510595358224,0.09283551967709384,0.02119071644803229,0.8425832492431887
1189,025,1622,"WARD 21, PRECINCT 14",1135,50,122,16,38,16,93,315,1622,1,0.6997533908754624,0.030826140567200986,0.0752157829839704,0.1942046855733662,1459,0.009864364981504316,0.02342786683107275,0.009864364981504316,0.05733662145499383,0.8995067817509248
1190,025,2590,"WARD 10, PRECINCT 5",1513,237,257,27,56,59,96,583,2590,1,0.5841698841698841,0.09150579150579151,0.09922779922779923,0.22509652509652509,2352,0.010424710424710425,0.021621621621621623,0.02277992277992278,0.037065637065637064,0.9081081081081082
1191,025,1706,"WARD 19, PRECINCT 5",1117,189,233,43,165,69,277,167,1706,1,0.6547479484173505,0.11078546307151231,0.1365767878077374,0.09788980070339977,1152,0.025205158264947247,0.09671746776084408,0.04044548651817116,0.1623681125439625,0.675263774912075
1192,025,995,"WARD 15, PRECINCT 3",129,374,185,16,21,47,26,307,995,1,0.12964824120603016,0.3758793969849246,0.18592964824120603,0.3085427135678392,885,0.016080402010050253,0.021105527638190954,0.04723618090452261,0.02613065326633166,0.8894472361809045
1193,025,1450,"WARD 15, PRECINCT 7",142,598,338,25,53,78,48,372,1450,1,0.09793103448275862,0.4124137931034483,0.23310344827586207,0.25655172413793104,1246,0.017241379310344827,0.036551724137931035,0.05379310344827586,0.03310344827586207,0.8593103448275862
1194,025,1101,"WARD 20, PRECINCT 18",882,55,52,192,94,36,147,112,1101,1,0.8010899182561307,0.049954586739327886,0.047229791099000905,0.10172570390554042,632,0.17438692098092642,0.08537693006357856,0.0326975476839237,0.1335149863760218,0.5740236148955495
1195,025,1858,"WARD 20, PRECINCT 1",1548,94,85,168,123,52,271,131,1858,1,0.8331539289558665,0.05059203444564048,0.045748116254036596,0.07050592034445641,1244,0.09041980624327234,0.06620021528525297,0.02798708288482239,0.1458557588805167,0.6695371367061357
1196,025,1631,"WARD 17, PRECINCT 6",330,706,303,48,142,100,80,292,1631,1,0.2023298589822195,0.4328632740649908,0.18577559779276517,0.17903126916002451,1261,0.029429797670141016,0.08706315144083385,0.061312078479460456,0.049049662783568364,0.7731453096259964
1197,025,1987,"WARD 17, PRECINCT 10",92,1387,278,14,120,161,44,230,1987,1,0.0463009562154001,0.6980372420734776,0.13990941117262204,0.11575239053850025,1648,0.007045797684952189,0.06039255158530448,0.08102667337695017,0.02214393558127831,0.8293910417715148
1198,025,1119,"WARD 11, PRECINCT 9",815,49,112,26,129,54,223,143,1119,1,0.7283288650580876,0.043789097408400354,0.10008936550491511,0.12779267202859695,687,0.02323503127792672,0.11528150134048257,0.04825737265415549,0.19928507596067918,0.613941018766756
1199,025,5062,"WARD 4, PRECINCT 9",2765,537,595,8,8,37,27,1165,5062,1,0.5462267878308968,0.10608455156064797,0.11754247333069932,0.23014618727775582,4982,0.0015804030027657052,0.0015804030027657052,0.0073093638877913866,0.005333860134334255,0.9841959699723429
