,COUNTY,VAP,NAME,WVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
898,Baltimore City,2617,Baltimore City Precinct 05-001,202,65,31,9,2,27,2415,2617,1,0.07718761941153993,0.92281238058846,2483,0.02483760030569354,0.011845624761176921,0.003439052350019106,0.0007642338555598013,0.010317157050057318,0.9487963316774933
899,Baltimore City,658,Baltimore City Precinct 10-004,17,44,22,5,1,21,641,658,1,0.025835866261398176,0.9741641337386018,565,0.0668693009118541,0.03343465045592705,0.007598784194528876,0.001519756838905775,0.031914893617021274,0.8586626139817629
900,Baltimore City,5665,Baltimore City Precinct 10-003,789,15,9,2,0,8,4876,5665,1,0.13927625772285968,0.8607237422771403,5631,0.00264783759929391,0.001588702559576346,0.000353045013239188,0.0,0.001412180052956752,0.9939982347749338
901,Baltimore City,836,Baltimore City Precinct 03-002,231,34,14,7,0,13,605,836,1,0.27631578947368424,0.7236842105263158,768,0.04066985645933014,0.01674641148325359,0.008373205741626795,0.0,0.01555023923444976,0.9186602870813397
913,Baltimore City,2765,Baltimore City Precinct 07-004,124,95,53,13,3,53,2641,2765,1,0.04484629294755877,0.9551537070524412,2548,0.034358047016274866,0.019168173598553346,0.004701627486437613,0.00108499095840868,0.019168173598553346,0.9215189873417722
914,Baltimore City,3497,Baltimore City Precinct 26-010,1389,149,57,37,11,49,2108,3497,1,0.3971975979410924,0.6028024020589077,3194,0.0426079496711467,0.016299685444666857,0.010580497569345154,0.0031455533314269373,0.014012010294538175,0.9133543036888762
915,Baltimore City,923,Baltimore City Precinct 26-012,85,29,19,3,0,12,838,923,1,0.09209100758396534,0.9079089924160346,860,0.0314192849404117,0.020585048754062838,0.0032502708559046588,0.0,0.013001083423618635,0.9317443120260022
916,Baltimore City,3245,Baltimore City Precinct 08-010,18,218,141,16,9,113,3227,3245,1,0.005546995377503852,0.9944530046224962,2748,0.06718027734976888,0.04345146379044684,0.004930662557781202,0.002773497688751926,0.034822804314329735,0.8468412942989214
917,Baltimore City,577,Baltimore City Precinct 08-011,13,37,32,3,0,18,564,577,1,0.022530329289428077,0.9774696707105719,487,0.06412478336221837,0.05545927209705372,0.005199306759098787,0.0,0.03119584055459272,0.8440207972270364
918,Baltimore City,1998,Baltimore City Precinct 08-003,70,87,55,12,3,51,1928,1998,1,0.035035035035035036,0.964964964964965,1790,0.04354354354354354,0.027527527527527528,0.006006006006006006,0.0015015015015015015,0.025525525525525526,0.8958958958958959
919,Baltimore City,1675,Baltimore City Precinct 26-019,143,112,80,10,5,42,1532,1675,1,0.0853731343283582,0.9146268656716418,1426,0.06686567164179104,0.04776119402985075,0.005970149253731343,0.0029850746268656717,0.02507462686567164,0.8513432835820895
920,Baltimore City,783,Baltimore City Precinct 26-020,50,56,35,5,1,22,733,783,1,0.06385696040868455,0.9361430395913155,664,0.07151979565772669,0.04469987228607918,0.006385696040868455,0.001277139208173691,0.0280970625798212,0.8480204342273308
921,Baltimore City,1709,Baltimore City Precinct 26-011,785,48,25,6,3,12,924,1709,1,0.4593329432416618,0.5406670567583383,1615,0.028086600351082503,0.014628437682855471,0.003510825043885313,0.0017554125219426564,0.007021650087770626,0.9449970743124634
922,Baltimore City,1355,Baltimore City Precinct 26-013,1074,26,16,4,1,11,281,1355,1,0.792619926199262,0.207380073800738,1297,0.01918819188191882,0.011808118081180811,0.002952029520295203,0.0007380073800738007,0.008118081180811807,0.9571955719557196
923,Baltimore City,339,Baltimore City Precinct 26-017,33,34,26,4,2,21,306,339,1,0.09734513274336283,0.9026548672566371,252,0.10029498525073746,0.07669616519174041,0.011799410029498525,0.0058997050147492625,0.061946902654867256,0.7433628318584071
924,Baltimore City,2928,Baltimore City Precinct 26-018,256,97,65,7,5,45,2672,2928,1,0.08743169398907104,0.912568306010929,2709,0.03312841530054645,0.02219945355191257,0.0023907103825136613,0.0017076502732240437,0.015368852459016393,0.9252049180327869
925,Baltimore City,1249,Baltimore City Precinct 26-016,74,104,57,11,4,48,1175,1249,1,0.059247397918334666,0.9407526020816653,1025,0.08326661329063251,0.045636509207365894,0.008807045636509208,0.0032025620496397116,0.03843074459567654,0.8206565252201762
