,COUNTY,VAP,NAME,WVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
509,Prince George's,158,Prince George's Precinct 18-012,5,106,2,153,158,1.0,0.03164556962025317,0.9683544303797469,50,0.6708860759493671,0.012658227848101266,0.31645569620253167
510,Prince George's,3010,Prince George's Precinct 02-003,624,1613,159,2386,3010,1.0,0.20730897009966778,0.7926910299003322,1238,0.5358803986710964,0.052823920265780734,0.4112956810631229
511,Prince George's,1792,Prince George's Precinct 18-009,52,1295,32,1740,1792,1.0,0.029017857142857144,0.9709821428571429,465,0.72265625,0.017857142857142856,0.25948660714285715
512,Prince George's,2682,Prince George's Precinct 06-019,56,1655,21,2626,2682,1.0,0.020879940343027592,0.9791200596569725,1006,0.6170768083519761,0.007829977628635347,0.3750932140193885
513,Prince George's,2589,Prince George's Precinct 18-007,40,1857,21,2549,2589,1.0,0.01544998068752414,0.9845500193124759,711,0.7172653534183082,0.008111239860950173,0.2746234067207416
514,Prince George's,1021,Prince George's Precinct 18-010,7,788,4,1014,1021,1.0,0.0068560235063663075,0.9931439764936337,229,0.77179236043095,0.0039177277179236044,0.22428991185112634
515,Prince George's,3626,Prince George's Precinct 18-006,28,2496,28,3598,3626,1.0,0.007722007722007722,0.9922779922779923,1102,0.6883618312189741,0.007722007722007722,0.3039161610590182
516,Prince George's,2067,Prince George's Precinct 18-002,31,1196,18,2036,2067,1.0,0.014997581035316884,0.9850024189646831,853,0.5786163522012578,0.008708272859216255,0.4126753749395259
517,Prince George's,1716,Prince George's Precinct 18-008,12,1190,18,1704,1716,1.0,0.006993006993006993,0.993006993006993,508,0.6934731934731935,0.01048951048951049,0.29603729603729606
518,Prince George's,2019,Prince George's Precinct 13-017,34,1474,24,1985,2019,1.0,0.016840019811788013,0.9831599801882119,521,0.730064388311045,0.01188707280832095,0.258048538880634
