,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
479,Prince George's,2840,Prince George's Precinct 11-001,589,2020,123,173,183,116,108,2840,1,0.2073943661971831,0.7112676056338029,0.043309859154929575,0.038028169014084505,2368,0.06091549295774648,0.06443661971830986,0.04084507042253521,0.8338028169014085
480,Prince George's,4018,Prince George's Precinct 09-011,519,3105,204,222,207,116,190,4018,1,0.12916874066699852,0.7727725236436038,0.0507715281234445,0.04728720756595321,3473,0.055251368840219015,0.05151816824290692,0.02887008461921354,0.8643603782976605
481,Prince George's,1565,Prince George's Precinct 09-009,577,815,107,39,137,40,66,1565,1,0.36869009584664536,0.5207667731629393,0.068370607028754,0.042172523961661344,1349,0.024920127795527155,0.08753993610223643,0.025559105431309903,0.8619808306709266
482,Prince George's,3439,Prince George's Precinct 11-003,484,2717,73,191,229,146,165,3439,1,0.14073858679848794,0.7900552486187845,0.021227100901424833,0.047979063681302704,2873,0.0555394009886595,0.06658912474556557,0.042454201802849666,0.8354172724629253
483,Prince George's,2108,Prince George's Precinct 15-003,209,1767,51,130,217,109,81,2108,1,0.099146110056926,0.8382352941176471,0.024193548387096774,0.03842504743833017,1652,0.061669829222011384,0.10294117647058823,0.051707779886148005,0.7836812144212524
484,Prince George's,662,Prince George's Precinct 01-007,394,180,60,208,55,96,28,662,1,0.595166163141994,0.2719033232628399,0.09063444108761329,0.04229607250755287,303,0.31419939577039274,0.08308157099697885,0.14501510574018128,0.45770392749244715
485,Prince George's,2108,Prince George's Precinct 06-014,231,1714,85,16,49,15,78,2108,1,0.10958254269449716,0.8130929791271347,0.04032258064516129,0.03700189753320683,2028,0.007590132827324478,0.023244781783681213,0.007115749525616698,0.9620493358633776
486,Prince George's,1176,Prince George's Precinct 06-002,134,919,75,66,130,59,48,1176,1,0.11394557823129252,0.7814625850340136,0.06377551020408163,0.04081632653061224,921,0.05612244897959184,0.11054421768707483,0.050170068027210885,0.7831632653061225
487,Prince George's,2560,Prince George's Precinct 06-013,365,1929,147,160,235,106,119,2560,1,0.142578125,0.753515625,0.057421875,0.046484375,2059,0.0625,0.091796875,0.04140625,0.804296875
488,Prince George's,3164,Prince George's Precinct 06-024,123,2840,109,20,66,26,92,3164,1,0.0388748419721871,0.8975979772439949,0.034450063211125155,0.029077117572692796,3052,0.006321112515802781,0.020859671302149177,0.008217446270543615,0.9646017699115044
489,Prince George's,3700,Prince George's Precinct 06-015,61,3457,107,143,191,79,75,3700,1,0.016486486486486488,0.9343243243243243,0.02891891891891892,0.02027027027027027,3287,0.03864864864864865,0.05162162162162162,0.021351351351351352,0.8883783783783784
490,Prince George's,576,Prince George's Precinct 06-021,41,457,52,19,73,17,26,576,1,0.07118055555555555,0.7934027777777778,0.09027777777777778,0.04513888888888889,467,0.03298611111111111,0.1267361111111111,0.029513888888888888,0.8107638888888888
491,Prince George's,4119,Prince George's Precinct 06-004,104,3634,289,66,200,69,92,4119,1,0.02524884680747754,0.8822529740228211,0.07016266084000972,0.022335518329691672,3784,0.016023306627822288,0.048555474629764506,0.016751638747268753,0.9186695799951444
492,Prince George's,4084,Prince George's Precinct 06-022,93,3813,102,86,318,80,76,4084,1,0.02277179236043095,0.933643486777669,0.02497551420176298,0.01860920666013712,3600,0.021057786483839373,0.07786483839373164,0.019588638589618023,0.881488736532811
493,Prince George's,3744,Prince George's Precinct 06-006,97,3372,186,88,198,64,89,3744,1,0.02590811965811966,0.9006410256410257,0.049679487179487176,0.02377136752136752,3394,0.023504273504273504,0.052884615384615384,0.017094017094017096,0.906517094017094
494,Prince George's,2295,Prince George's Precinct 06-018,268,1636,263,71,176,53,128,2295,1,0.11677559912854031,0.7128540305010893,0.11459694989106754,0.05577342047930283,1995,0.03093681917211329,0.0766884531590414,0.02309368191721133,0.869281045751634
495,Prince George's,4108,Prince George's Precinct 06-007,492,3129,264,120,277,94,223,4108,1,0.11976630963972736,0.7616845180136319,0.06426484907497566,0.05428432327166505,3617,0.029211295034079845,0.06742940603700097,0.022882181110029213,0.8804771178188899
496,Prince George's,1925,Prince George's Precinct 09-003,1159,387,238,4,9,4,141,1925,1,0.6020779220779221,0.20103896103896104,0.12363636363636364,0.07324675324675324,1908,0.002077922077922078,0.004675324675324675,0.002077922077922078,0.9911688311688311
497,Prince George's,3624,Prince George's Precinct 06-016,134,3200,157,61,221,56,133,3624,1,0.0369757174392936,0.8830022075055187,0.043322295805739514,0.036699779249448124,3286,0.01683222958057395,0.06098233995584989,0.01545253863134658,0.9067328918322296
498,Prince George's,1985,Prince George's Precinct 06-005,102,1774,60,54,181,47,49,1985,1,0.05138539042821159,0.8937027707808565,0.030226700251889168,0.02468513853904282,1703,0.027204030226700253,0.09118387909319899,0.02367758186397985,0.8579345088161209
499,Prince George's,3207,Prince George's Precinct 06-010,129,2843,141,80,265,79,94,3207,1,0.040224508886810104,0.8864982850015591,0.04396632366697849,0.029310882444652322,2783,0.024945431867789213,0.08263174306205176,0.024633613969441845,0.8677892111007172
500,Prince George's,2204,Prince George's Precinct 06-011,132,1916,89,80,304,68,67,2204,1,0.05989110707803993,0.8693284936479129,0.04038112522686026,0.030399274047186932,1752,0.036297640653357534,0.13793103448275862,0.030852994555353903,0.79491833030853
501,Prince George's,3824,Prince George's Precinct 06-001,272,3214,248,85,300,80,90,3824,1,0.07112970711297072,0.8404811715481172,0.06485355648535565,0.023535564853556484,3359,0.022228033472803346,0.07845188284518828,0.02092050209205021,0.8783995815899581
502,Prince George's,4367,Prince George's Precinct 06-003,124,3870,251,162,247,102,122,4367,1,0.028394779024501948,0.8861918937485688,0.0574765285092741,0.027936798717655142,3856,0.03709640485459125,0.05656056789558049,0.023356995649187084,0.8829860316006412
503,Prince George's,2231,Prince George's Precinct 18-011,68,2008,94,58,127,49,61,2231,1,0.03047960555804572,0.9000448229493501,0.0421335723890632,0.02734199910354101,1997,0.025997310623038995,0.05692514567458539,0.021963245181532944,0.8951142985208427
504,Prince George's,2252,Prince George's Precinct 18-004,81,2005,125,58,98,46,41,2252,1,0.03596802841918295,0.8903197158081705,0.05550621669626998,0.018206039076376555,2050,0.02575488454706927,0.043516873889875664,0.020426287744227355,0.9103019538188277
505,Prince George's,3235,Prince George's Precinct 18-001,86,2932,151,126,231,86,66,3235,1,0.026584234930448224,0.9063369397217929,0.04667697063369397,0.020401854714064915,2792,0.03894899536321484,0.0714064914992272,0.026584234930448224,0.8630602782071097
506,Prince George's,1927,Prince George's Precinct 02-007,906,749,187,245,108,86,85,1927,1,0.4701608718214842,0.3886870783601453,0.09704203425012974,0.04411001556824079,1488,0.12714063310845874,0.05604566683964712,0.04462895692786715,0.772184743124027
507,Prince George's,1859,Prince George's Precinct 18-005,22,1622,171,40,58,91,44,1859,1,0.011834319526627219,0.8725121032813341,0.09198493813878429,0.023668639053254437,1670,0.02151694459386767,0.031199569661108123,0.04895104895104895,0.8983324367939752
