,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN18D,SEN18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN18None,SEN18D_pct,SEN18R_pct,SEN18None_pct
485,Prince George's,2108,Prince George's Precinct 06-014,231,1714,85,717,35,78,2108,1.0,0.10958254269449716,0.8130929791271347,0.04032258064516129,0.03700189753320683,1356,0.3401328273244782,0.016603415559772294,0.6432637571157496
486,Prince George's,1176,Prince George's Precinct 06-002,134,919,75,715,33,48,1176,1.0,0.11394557823129252,0.7814625850340136,0.06377551020408163,0.04081632653061224,428,0.6079931972789115,0.02806122448979592,0.36394557823129253
487,Prince George's,2560,Prince George's Precinct 06-013,365,1929,147,1390,79,119,2560,1.0,0.142578125,0.753515625,0.057421875,0.046484375,1091,0.54296875,0.030859375,0.426171875
488,Prince George's,3164,Prince George's Precinct 06-024,123,2840,109,929,26,92,3164,1.0,0.0388748419721871,0.8975979772439949,0.034450063211125155,0.029077117572692796,2209,0.2936156763590392,0.008217446270543615,0.6981668773704172
489,Prince George's,3700,Prince George's Precinct 06-015,61,3457,107,1556,24,75,3700,1.0,0.016486486486486488,0.9343243243243243,0.02891891891891892,0.02027027027027027,2120,0.4205405405405405,0.006486486486486486,0.572972972972973
490,Prince George's,576,Prince George's Precinct 06-021,41,457,52,313,9,26,576,1.0,0.07118055555555555,0.7934027777777778,0.09027777777777778,0.04513888888888889,254,0.5434027777777778,0.015625,0.4409722222222222
491,Prince George's,4119,Prince George's Precinct 06-004,104,3634,289,1419,38,92,4119,1.0,0.02524884680747754,0.8822529740228211,0.07016266084000972,0.022335518329691672,2662,0.3445010924981792,0.009225540179655257,0.6462733673221656
492,Prince George's,4084,Prince George's Precinct 06-022,93,3813,102,1867,50,76,4084,1.0,0.02277179236043095,0.933643486777669,0.02497551420176298,0.01860920666013712,2167,0.45714985308521056,0.012242899118511263,0.5306072477962782
493,Prince George's,3744,Prince George's Precinct 06-006,97,3372,186,1378,35,89,3744,1.0,0.02590811965811966,0.9006410256410257,0.049679487179487176,0.02377136752136752,2331,0.3680555555555556,0.009348290598290598,0.6225961538461539
494,Prince George's,2295,Prince George's Precinct 06-018,268,1636,263,1112,57,128,2295,1.0,0.11677559912854031,0.7128540305010893,0.11459694989106754,0.05577342047930283,1126,0.48453159041394334,0.02483660130718954,0.4906318082788671
495,Prince George's,4108,Prince George's Precinct 06-007,492,3129,264,2140,93,223,4108,1.0,0.11976630963972736,0.7616845180136319,0.06426484907497566,0.05428432327166505,1875,0.5209347614410905,0.02263875365141188,0.45642648490749754
496,Prince George's,1925,Prince George's Precinct 09-003,1159,387,238,164,59,141,1925,1.0,0.6020779220779221,0.20103896103896104,0.12363636363636364,0.07324675324675324,1702,0.0851948051948052,0.03064935064935065,0.8841558441558441
497,Prince George's,3624,Prince George's Precinct 06-016,134,3200,157,1420,35,133,3624,1.0,0.0369757174392936,0.8830022075055187,0.043322295805739514,0.036699779249448124,2169,0.39183222958057395,0.009657836644591612,0.5985099337748344
498,Prince George's,1985,Prince George's Precinct 06-005,102,1774,60,1037,30,49,1985,1.0,0.05138539042821159,0.8937027707808565,0.030226700251889168,0.02468513853904282,918,0.5224181360201511,0.015113350125944584,0.4624685138539043
