,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
486,Prince George's,1176,Prince George's Precinct 06-002,134,919,75,850,57,48,1176,1.0,0.11394557823129252,0.7814625850340136,0.06377551020408163,0.04081632653061224,269,0.7227891156462585,0.04846938775510204,0.22874149659863946
487,Prince George's,2560,Prince George's Precinct 06-013,365,1929,147,1653,115,119,2560,1.0,0.142578125,0.753515625,0.057421875,0.046484375,792,0.645703125,0.044921875,0.309375
488,Prince George's,3164,Prince George's Precinct 06-024,123,2840,109,985,22,92,3164,1.0,0.0388748419721871,0.8975979772439949,0.034450063211125155,0.029077117572692796,2157,0.311314791403287,0.00695322376738306,0.68173198482933
489,Prince George's,3700,Prince George's Precinct 06-015,61,3457,107,1997,39,75,3700,1.0,0.016486486486486488,0.9343243243243243,0.02891891891891892,0.02027027027027027,1664,0.5397297297297298,0.01054054054054054,0.44972972972972974
490,Prince George's,576,Prince George's Precinct 06-021,41,457,52,428,11,26,576,1.0,0.07118055555555555,0.7934027777777778,0.09027777777777778,0.04513888888888889,137,0.7430555555555556,0.019097222222222224,0.2378472222222222
491,Prince George's,4119,Prince George's Precinct 06-004,104,3634,289,1887,50,92,4119,1.0,0.02524884680747754,0.8822529740228211,0.07016266084000972,0.022335518329691672,2182,0.4581209031318281,0.012138868657441126,0.5297402282107307
492,Prince George's,4084,Prince George's Precinct 06-022,93,3813,102,2063,48,76,4084,1.0,0.02277179236043095,0.933643486777669,0.02497551420176298,0.01860920666013712,1973,0.5051420176297747,0.011753183153770812,0.48310479921645444
493,Prince George's,3744,Prince George's Precinct 06-006,97,3372,186,1792,58,89,3744,1.0,0.02590811965811966,0.9006410256410257,0.049679487179487176,0.02377136752136752,1894,0.47863247863247865,0.015491452991452992,0.5058760683760684
494,Prince George's,2295,Prince George's Precinct 06-018,268,1636,263,1379,81,128,2295,1.0,0.11677559912854031,0.7128540305010893,0.11459694989106754,0.05577342047930283,835,0.6008714596949891,0.03529411764705882,0.3638344226579521
495,Prince George's,4108,Prince George's Precinct 06-007,492,3129,264,2431,129,223,4108,1.0,0.11976630963972736,0.7616845180136319,0.06426484907497566,0.05428432327166505,1548,0.5917721518987342,0.03140214216163583,0.37682570593963
496,Prince George's,1925,Prince George's Precinct 09-003,1159,387,238,186,78,141,1925,1.0,0.6020779220779221,0.20103896103896104,0.12363636363636364,0.07324675324675324,1661,0.09662337662337663,0.04051948051948052,0.8628571428571429
497,Prince George's,3624,Prince George's Precinct 06-016,134,3200,157,1859,49,133,3624,1.0,0.0369757174392936,0.8830022075055187,0.043322295805739514,0.036699779249448124,1716,0.5129690949227373,0.013520971302428256,0.4735099337748344
498,Prince George's,1985,Prince George's Precinct 06-005,102,1774,60,1291,40,49,1985,1.0,0.05138539042821159,0.8937027707808565,0.030226700251889168,0.02468513853904282,654,0.6503778337531486,0.020151133501259445,0.3294710327455919
499,Prince George's,3207,Prince George's Precinct 06-010,129,2843,141,1882,64,94,3207,1.0,0.040224508886810104,0.8864982850015591,0.04396632366697849,0.029310882444652322,1261,0.5868412846897412,0.019956345494231368,0.39320236981602746
500,Prince George's,2204,Prince George's Precinct 06-011,132,1916,89,1629,56,67,2204,1.0,0.05989110707803993,0.8693284936479129,0.04038112522686026,0.030399274047186932,519,0.7391107078039928,0.025408348457350273,0.235480943738657
501,Prince George's,3824,Prince George's Precinct 06-001,272,3214,248,2186,76,90,3824,1.0,0.07112970711297072,0.8404811715481172,0.06485355648535565,0.023535564853556484,1562,0.571652719665272,0.0198744769874477,0.4084728033472803
502,Prince George's,4367,Prince George's Precinct 06-003,124,3870,251,2489,52,122,4367,1.0,0.028394779024501948,0.8861918937485688,0.0574765285092741,0.027936798717655142,1826,0.5699564918708495,0.011907487978016945,0.4181360201511335
503,Prince George's,2231,Prince George's Precinct 18-011,68,2008,94,1269,42,61,2231,1.0,0.03047960555804572,0.9000448229493501,0.0421335723890632,0.02734199910354101,920,0.5688032272523532,0.01882563872702824,0.41237113402061853
504,Prince George's,2252,Prince George's Precinct 18-004,81,2005,125,1132,31,41,2252,1.0,0.03596802841918295,0.8903197158081705,0.05550621669626998,0.018206039076376555,1089,0.5026642984014209,0.013765541740674956,0.4835701598579041
