,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
513,Prince George's,2589,Prince George's Precinct 18-007,40,2362,125,224,8,33,6,280,62,2589,1,0.01544998068752414,0.9123213595983005,0.04828118964851294,0.02394747006566242,2038,0.08651989185013519,0.003089996137504828,0.012746234067207415,0.002317497103128621,0.10814986481266899,0.787176516029355
514,Prince George's,1021,Prince George's Precinct 18-010,7,948,50,98,3,7,1,119,16,1021,1,0.0068560235063663075,0.9285014691478942,0.04897159647404505,0.015670910871694418,793,0.09598432908912831,0.002938295788442703,0.0068560235063663075,0.0009794319294809011,0.11655239960822723,0.7766895200783546
515,Prince George's,3626,Prince George's Precinct 18-006,28,3477,57,296,8,21,13,438,64,3626,1,0.007722007722007722,0.9589078874793161,0.015719801434087147,0.01765030336458908,2850,0.08163265306122448,0.002206287920573635,0.005791505791505791,0.0035852178709321566,0.12079426365140651,0.7859900717043574
516,Prince George's,2067,Prince George's Precinct 18-002,31,1869,132,106,1,14,6,139,35,2067,1,0.014997581035316884,0.9042089985486212,0.06386066763425254,0.016932752781809387,1801,0.05128205128205128,0.0004837929366231253,0.006773101112723754,0.002902757619738752,0.06724721819061441,0.8713110788582487
517,Prince George's,1716,Prince George's Precinct 18-008,12,1617,35,135,6,11,8,164,52,1716,1,0.006993006993006993,0.9423076923076923,0.020396270396270396,0.030303030303030304,1392,0.07867132867132867,0.0034965034965034965,0.00641025641025641,0.004662004662004662,0.09557109557109557,0.8111888111888111
518,Prince George's,2019,Prince George's Precinct 13-017,34,1629,316,159,6,13,4,184,40,2019,1,0.016840019811788013,0.8068350668647846,0.1565131253095592,0.01981178801386825,1653,0.0787518573551263,0.0029717682020802376,0.0064388311045071814,0.001981178801386825,0.09113422486379395,0.8187221396731055
519,Prince George's,3377,Prince George's Precinct 13-002,56,2916,308,134,9,8,6,201,97,3377,1,0.01658276576843352,0.8634883032277169,0.09120521172638436,0.028723719277465205,3019,0.03968018951732307,0.0026650873556411016,0.0023689665383476457,0.0017767249037607344,0.0595202842759846,0.8939887474089429
520,Prince George's,3376,Prince George's Precinct 13-016,73,3043,169,275,7,23,8,368,91,3376,1,0.021623222748815167,0.9013625592417062,0.05005924170616114,0.026954976303317536,2695,0.08145734597156398,0.0020734597156398106,0.006812796208530806,0.002369668246445498,0.10900473933649289,0.798281990521327
521,Prince George's,1837,Prince George's Precinct 06-023,120,1621,50,160,6,13,6,208,46,1837,1,0.065323897659227,0.8824169842133914,0.027218290691344585,0.025040827436037017,1444,0.08709853021230267,0.00326619488296135,0.007076755579749592,0.00326619488296135,0.11322808927599347,0.7860642351660315
522,Prince George's,2581,Prince George's Precinct 15-006,524,1870,91,320,11,25,10,420,96,2581,1,0.2030220844633863,0.7245253777605579,0.035257652072839984,0.03719488570321581,1795,0.1239829523440527,0.004261913986826811,0.009686168151879117,0.0038744672607516468,0.16272762495156917,0.6954668733049205
