,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
613,Baltimore County,1905,Baltimore County Precinct 12-013,167,1619,45,160,21,26,74,1905,1,0.08766404199475065,0.8498687664041995,0.023622047244094488,0.03884514435695538,1698,0.08398950131233596,0.011023622047244094,0.013648293963254593,0.8913385826771654
796,Baltimore County,1239,Baltimore County Precinct 13-006,980,160,46,19,24,22,53,1239,1,0.7909604519774012,0.129136400322841,0.03712671509281679,0.042776432606941084,1174,0.01533494753833737,0.01937046004842615,0.01775625504439064,0.9475383373688459
797,Baltimore County,2979,Baltimore County Precinct 13-007,1367,940,508,53,33,32,164,2979,1,0.4588788183954347,0.31554212823094996,0.1705270224907687,0.055052030882846596,2861,0.01779120510238335,0.011077542799597181,0.010741859684457872,0.9603893924135616
798,Baltimore County,5380,Baltimore County Precinct 13-009,3849,930,400,67,104,78,201,5380,1,0.7154275092936803,0.17286245353159851,0.07434944237918216,0.037360594795539034,5131,0.01245353159851301,0.019330855018587362,0.01449814126394052,0.9537174721189591
804,Baltimore County,2262,Baltimore County Precinct 13-008,1953,62,144,29,66,54,103,2262,1,0.863395225464191,0.027409372236958444,0.0636604774535809,0.04553492484526967,2113,0.01282051282051282,0.029177718832891247,0.023872679045092837,0.9341290893015031
823,Baltimore County,2920,Baltimore County Precinct 14-011,1954,629,201,87,76,47,136,2920,1,0.6691780821917809,0.21541095890410958,0.06883561643835616,0.04657534246575343,2710,0.029794520547945205,0.026027397260273973,0.016095890410958904,0.928082191780822
824,Baltimore County,2766,Baltimore County Precinct 14-007,2061,560,69,44,92,88,76,2766,1,0.745119305856833,0.2024584237165582,0.024945770065075923,0.0274765003615329,2542,0.015907447577729574,0.033261026753434564,0.03181489515545915,0.9190166305133767
825,Baltimore County,3521,Baltimore County Precinct 14-008,1352,1989,57,194,113,71,123,3521,1,0.38398182334564046,0.5648963362681056,0.016188582788980402,0.034933257597273504,3143,0.05509798352740699,0.03209315535359273,0.020164725930133486,0.8926441351888668
829,Baltimore County,4086,Baltimore County Precinct 09-022,3162,628,100,82,143,119,196,4086,1,0.7738619676945668,0.15369554576603034,0.024473813020068527,0.047968673519334315,3742,0.020068526676456193,0.03499755261869799,0.029123837493881546,0.9158100832109642
830,Baltimore County,2181,Baltimore County Precinct 14-012,1973,91,41,37,105,82,76,2181,1,0.9046309032553874,0.041723979825768,0.01879871618523613,0.03484640073360844,1957,0.016964695093993582,0.048143053645116916,0.03759743237047226,0.8972948188904173
831,Baltimore County,723,Baltimore County Precinct 14-014,485,179,19,15,25,18,40,723,1,0.6708160442600276,0.2475795297372061,0.02627939142461964,0.05532503457814661,665,0.02074688796680498,0.034578146611341634,0.024896265560165973,0.9197786998616874
832,Baltimore County,3444,Baltimore County Precinct 14-006,2936,366,70,79,162,135,72,3444,1,0.8524970963995354,0.10627177700348432,0.02032520325203252,0.020905923344947737,3068,0.022938443670150986,0.047038327526132406,0.039198606271777,0.8908246225319396
833,Baltimore County,2262,Baltimore County Precinct 14-001,2044,93,43,45,113,86,82,2262,1,0.9036251105216623,0.04111405835543767,0.01900972590627763,0.036251105216622455,2018,0.01989389920424403,0.04995579133510168,0.03801945181255526,0.8921308576480991
834,Baltimore County,2561,Baltimore County Precinct 14-010,1869,473,102,87,134,71,117,2561,1,0.7297930495900039,0.18469347910972275,0.03982819211245607,0.04568527918781726,2269,0.033971105037094884,0.05232331120655994,0.027723545490042953,0.8859820382663022
835,Baltimore County,4471,Baltimore County Precinct 14-009,1738,2050,363,159,92,78,320,4471,1,0.38872735405949455,0.4585104003578618,0.08118989040483113,0.07157235517781257,4142,0.03556251397897562,0.020577052113621114,0.017445761574591812,0.9264146723328115
836,Baltimore County,1191,Baltimore County Precinct 14-005,540,395,63,21,8,9,193,1191,1,0.4534005037783375,0.3316540722082284,0.05289672544080604,0.16204869857262805,1153,0.017632241813602016,0.006717044500419815,0.007556675062972292,0.9680940386230059
837,Baltimore County,2619,Baltimore County Precinct 11-016,1527,601,149,21,21,29,342,2619,1,0.5830469644902635,0.22947689957999237,0.056891943489881636,0.13058419243986255,2548,0.008018327605956471,0.008018327605956471,0.011072928598701794,0.9728904161893852
838,Baltimore County,4063,Baltimore County Precinct 14-002,2593,758,107,120,108,112,605,4063,1,0.6381983755845434,0.18656165395028304,0.026335220280580853,0.14890475018459268,3723,0.029534826482894412,0.026581343834604972,0.027565838050701452,0.9163179916317992
839,Baltimore County,3933,Baltimore County Precinct 11-011,2948,453,97,82,101,78,435,3933,1,0.7495550470378846,0.11517925247902365,0.024663107042969742,0.11060259344012205,3672,0.020849224510551743,0.025680142384947875,0.019832189168573607,0.9336384439359268
840,Baltimore County,3413,Baltimore County Precinct 09-023,2320,686,146,75,110,107,261,3413,1,0.6797538822150601,0.20099619103428068,0.042777615001464986,0.07647231174919426,3121,0.021974802226779958,0.03222970993261061,0.031350717843539405,0.91444476999707
841,Baltimore County,2956,Baltimore County Precinct 09-025,2214,406,82,62,74,92,254,2956,1,0.7489851150202977,0.13734776725304465,0.02774018944519621,0.08592692828146144,2728,0.02097428958051421,0.02503382949932341,0.03112313937753721,0.9228687415426252
842,Baltimore County,2895,Baltimore County Precinct 11-009,2192,357,98,61,64,75,248,2895,1,0.7571675302245251,0.12331606217616581,0.03385146804835924,0.08566493955094992,2695,0.021070811744386873,0.022107081174438686,0.025906735751295335,0.9309153713298791
843,Baltimore County,3895,Baltimore County Precinct 09-024,3019,460,73,96,154,151,343,3895,1,0.7750962772785622,0.11810012836970475,0.018741976893453145,0.08806161745827984,3494,0.024646983311938382,0.03953786906290115,0.03876765083440308,0.8970474967907573
844,Baltimore County,3694,Baltimore County Precinct 11-015,3631,16,14,99,190,87,33,3694,1,0.9829453167298322,0.004331348132106118,0.003789929615592853,0.008933405522468869,3318,0.026800216567406606,0.051434759068760154,0.023551705468327015,0.8982133188955063
845,Baltimore County,731,Baltimore County Precinct 11-021,560,77,22,15,9,22,72,731,1,0.7660738714090287,0.10533515731874145,0.030095759233926128,0.09849521203830369,685,0.02051983584131327,0.012311901504787962,0.030095759233926128,0.9370725034199726
846,Baltimore County,2824,Baltimore County Precinct 11-008,2388,150,47,26,69,67,239,2824,1,0.8456090651558074,0.05311614730878187,0.016643059490084985,0.08463172804532577,2662,0.009206798866855524,0.02443342776203966,0.023725212464589234,0.9426345609065155
847,Baltimore County,3720,Baltimore County Precinct 11-010,2780,490,87,72,85,74,363,3720,1,0.7473118279569892,0.13172043010752688,0.02338709677419355,0.09758064516129032,3489,0.01935483870967742,0.0228494623655914,0.01989247311827957,0.9379032258064516
848,Baltimore County,1942,Baltimore County Precinct 11-018,1553,125,56,8,10,33,208,1942,1,0.7996910401647785,0.06436663233779609,0.028836251287332648,0.10710607621009269,1891,0.004119464469618949,0.005149330587023687,0.016992790937178166,0.9737384140061792
849,Baltimore County,3460,Baltimore County Precinct 11-017,2820,265,62,69,104,98,313,3460,1,0.815028901734104,0.07658959537572255,0.017919075144508672,0.09046242774566474,3189,0.019942196531791908,0.03005780346820809,0.028323699421965318,0.9216763005780347
850,Baltimore County,2630,Baltimore County Precinct 15-003,2325,182,40,33,128,48,83,2630,1,0.8840304182509505,0.06920152091254753,0.015209125475285171,0.03155893536121673,2421,0.012547528517110267,0.048669201520912544,0.018250950570342206,0.9205323193916349
851,Baltimore County,3634,Baltimore County Precinct 14-013,1814,1130,267,57,40,43,423,3634,1,0.4991744634012108,0.3109521188772702,0.07347275729223995,0.11640066042927903,3494,0.015685195376995045,0.01100715465052284,0.011832691249312053,0.96147495872317
852,Baltimore County,3333,Baltimore County Precinct 15-011,2680,416,108,62,75,68,129,3333,1,0.804080408040804,0.12481248124812482,0.032403240324032405,0.0387038703870387,3128,0.0186018601860186,0.022502250225022502,0.0204020402040204,0.9384938493849385
853,Baltimore County,343,Baltimore County Precinct 14-004,274,35,9,3,17,7,25,343,1,0.7988338192419825,0.10204081632653061,0.026239067055393587,0.0728862973760933,316,0.008746355685131196,0.04956268221574344,0.02040816326530612,0.9212827988338192
965,Baltimore County,3555,Baltimore County Precinct 08-011,2068,458,346,19,50,48,683,3555,1,0.5817158931082982,0.1288326300984529,0.09732770745428973,0.19212376933895922,3438,0.005344585091420534,0.014064697609001406,0.01350210970464135,0.9670886075949368
966,Baltimore County,2505,Baltimore County Precinct 08-006,1379,350,218,108,51,95,558,2505,1,0.550499001996008,0.13972055888223553,0.08702594810379241,0.22275449101796407,2251,0.04311377245508982,0.02035928143712575,0.03792415169660679,0.8986027944111776
967,Baltimore County,1757,Baltimore County Precinct 08-003,1549,38,39,33,63,77,131,1757,1,0.8816163915765509,0.021627774615822423,0.0221969265793967,0.07455890722822994,1584,0.018782014797951052,0.035856573705179286,0.043824701195219126,0.9015367103016505
968,Baltimore County,2017,Baltimore County Precinct 08-022,1757,19,18,78,49,111,223,2017,1,0.8710956866633615,0.009419930589985127,0.008924144769459593,0.11056023797719385,1779,0.03867129400099157,0.024293505205751114,0.05503222607833416,0.8820029747149232
969,Baltimore County,2489,Baltimore County Precinct 08-001,2208,107,48,42,77,78,126,2489,1,0.8871032543190036,0.042989152269987944,0.019284853354760947,0.05062274005624749,2292,0.01687424668541583,0.030936118923262354,0.03133788670148654,0.9208517476898352
970,Baltimore County,1888,Baltimore County Precinct 08-025,1659,61,35,35,33,57,133,1888,1,0.878707627118644,0.0323093220338983,0.018538135593220338,0.0704449152542373,1763,0.018538135593220338,0.017478813559322032,0.030190677966101694,0.933792372881356
971,Baltimore County,2437,Baltimore County Precinct 08-004,2117,53,55,56,99,97,212,2437,1,0.8686910135412392,0.021748050882232254,0.02256873204759951,0.08699220352892902,2185,0.022979072630283134,0.040623717685679114,0.039803036520311856,0.8965941731637259
972,Baltimore County,1477,Baltimore County Precinct 10-002,1372,10,25,18,45,59,70,1477,1,0.9289099526066351,0.006770480704129994,0.016926201760324982,0.04739336492890995,1355,0.012186865267433988,0.03046716316858497,0.03994583615436696,0.9174001354096141
973,Baltimore County,1876,Baltimore County Precinct 10-004,1797,14,22,23,61,66,43,1876,1,0.9578891257995735,0.007462686567164179,0.011727078891257996,0.022921108742004266,1726,0.012260127931769723,0.03251599147121535,0.035181236673773986,0.920042643923241
974,Baltimore County,3018,Baltimore County Precinct 10-001,2857,49,46,41,69,92,66,3018,1,0.9466534128561962,0.016235917826375082,0.015241882041086813,0.02186878727634195,2816,0.013585155732273028,0.02286282306163022,0.030483764082173626,0.9330682571239232
975,Baltimore County,3508,Baltimore County Precinct 05-001,3315,53,77,33,66,97,63,3508,1,0.9449828962371721,0.015108323831242873,0.02194982896237172,0.01795895096921323,3312,0.009407069555302166,0.018814139110604332,0.02765108323831243,0.9441277080957811
976,Baltimore County,1975,Baltimore County Precinct 06-001,1875,41,18,16,44,59,41,1975,1,0.9493670886075949,0.020759493670886076,0.009113924050632912,0.020759493670886076,1856,0.00810126582278481,0.022278481012658228,0.029873417721518986,0.9397468354430379
977,Baltimore County,2338,Baltimore County Precinct 06-002,2220,41,30,27,61,76,47,2338,1,0.9495295124037639,0.017536355859709155,0.01283147989734816,0.020102651839178785,2174,0.011548331907613344,0.026090675791274595,0.032506415739948676,0.9298545765611634
978,Baltimore County,2472,Baltimore County Precinct 07-003,2274,95,38,48,73,82,65,2472,1,0.9199029126213593,0.03843042071197411,0.015372168284789644,0.026294498381877023,2269,0.019417475728155338,0.02953074433656958,0.03317152103559871,0.9178802588996764
979,Baltimore County,1071,Baltimore County Precinct 07-002,1032,12,6,18,30,44,21,1071,1,0.9635854341736695,0.011204481792717087,0.0056022408963585435,0.0196078431372549,979,0.01680672268907563,0.028011204481792718,0.04108309990662932,0.9140989729225023
980,Baltimore County,3153,Baltimore County Precinct 07-001,2987,61,47,42,78,86,58,3153,1,0.9473517285125278,0.01934665398033619,0.014906438312718047,0.018395179194418014,2947,0.013320647002854425,0.024738344433872503,0.0272756105296543,0.9346653980336188
989,Baltimore County,3836,Baltimore County Precinct 09-020,464,3064,142,202,65,66,166,3836,1,0.12095933263816476,0.7987486965589156,0.0370177267987487,0.043274244004171014,3503,0.05265901981230448,0.01694473409801877,0.017205422314911366,0.9131908237747653
990,Baltimore County,2342,Baltimore County Precinct 09-028,897,1264,113,103,58,55,68,2342,1,0.38300597779675494,0.5397096498719044,0.04824935952177626,0.029035012809564473,2126,0.04397950469684031,0.024765157984628524,0.023484201537147736,0.9077711357813835
991,Baltimore County,2528,Baltimore County Precinct 09-019,1774,492,100,56,73,107,162,2528,1,0.7017405063291139,0.19462025316455697,0.03955696202531646,0.06408227848101265,2292,0.022151898734177215,0.028876582278481014,0.042325949367088604,0.9066455696202531
996,Baltimore County,3661,Baltimore County Precinct 09-021,3095,342,92,76,120,136,132,3661,1,0.8453974323955203,0.09341709915323682,0.025129745971046162,0.036055722480196666,3329,0.02075935536738596,0.03277792952745152,0.03714832013111172,0.9093143949740508
997,Baltimore County,2909,Baltimore County Precinct 09-029,2172,442,98,0,2,1,197,2909,1,0.7466483327603988,0.1519422481952561,0.03368855276727398,0.06772086627707116,2906,0.0,0.0006875214850464077,0.00034376074252320387,0.9989687177724303
998,Baltimore County,2194,Baltimore County Precinct 09-012,1804,90,81,42,54,127,219,2194,1,0.8222424794895169,0.04102096627164995,0.03691886964448496,0.09981768459434823,1971,0.019143117593436645,0.024612579762989972,0.05788514129443938,0.898359161349134
999,Baltimore County,2160,Baltimore County Precinct 09-007,1829,60,68,51,82,112,203,2160,1,0.8467592592592592,0.027777777777777776,0.03148148148148148,0.09398148148148149,1915,0.02361111111111111,0.03796296296296296,0.05185185185185185,0.8865740740740741
1000,Baltimore County,2993,Baltimore County Precinct 09-011,2118,525,116,95,64,102,234,2993,1,0.707651186100902,0.17540928833945874,0.03875709989976612,0.07818242565987303,2732,0.03174072836618777,0.021383227530905446,0.03407951887738055,0.9127965252255262
1001,Baltimore County,5056,Baltimore County Precinct 09-010,3865,608,158,146,165,167,425,5056,1,0.7644382911392406,0.12025316455696203,0.03125,0.08405854430379747,4578,0.028876582278481014,0.032634493670886076,0.03303006329113924,0.9054588607594937
1002,Baltimore County,1644,Baltimore County Precinct 08-015,1440,16,69,53,80,82,119,1644,1,0.8759124087591241,0.009732360097323601,0.041970802919708027,0.07238442822384428,1429,0.03223844282238443,0.04866180048661801,0.049878345498783457,0.8692214111922141
